#airframe_info," log_version=""1.03"""," log_content_version=""1.02"""," Product=""GIFD"""," airframe_name=""Cirrus SR20"""," unit_software_part_number=""006-B1177-C2"""," unit_software_version=""21.70"""," system_software_part_number=""006-B2647-N9"""," system_id=""25F65227F""", mode=NORMAL," flightstream_header=""25F65227F_2857""", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2024/5/27, 19:44:54,  +08:00,   GHN0,31.2327957,104.3701859,3450.5,29.65,3600.9,24,103.63,106.62,152.18,4.27,-27.38,0.01,0.25,154.9,156.1,27.8,28.7,0,17.37,19,13.84,197.06,70.45,22.4,2480.5,0.64,331.23,327.14,337.54,330.59,        ,        ,1320.76,1312.79,1299.8,1345.68,1191.99,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3468.7,113, NAV2,9,109.9,113.5,120.3,118.275,-0.021,       ,7.51,-161.9,16.9,-169.9,-2.5,0,  NONE,   NONE,      ,      ,307.1, 3DDiff,3704,      ,65,95,73
2024/5/27, 19:44:55,  +08:00,   GHN0,31.2323799,104.370491,3453.5,29.65,3607.5,24,102.8,106.62,153.2,4.52,-32.09,0.01,0.11,150.8,150.3,27.8,28.7,0,17.39,18.95,13.83,197.07,70.43,22.41,2476.4,0.64,331.25,327.18,337.56,330.62,        ,        ,1319.68,1311.63,1299.57,1345.71,1191.78,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3475.3,112, NAV2,9,109.9,113.5,120.3,118.275,-0.039,       ,7.46,-162.3,16.9,-169.8,-2.5,0,  NONE,   NONE,      ,      ,393.7, 3DDiff,3704,      ,66,95,73
2024/5/27, 19:44:56,  +08:00,   GHN0,31.2319889,104.3708496,3461.5,29.65,3612.1,24,102.05,106.81,283.76,4.08,-34.5,0,0.16,144.5,144.6,27.8,28.7,0,17.41,18.98,13.77,197.08,70.52,22.36,2476.2,0.64,331.28,327.2,337.6,330.65,        ,        ,1319.25,1311.03,1299.35,1344.84,1191.58,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3479.9,111, NAV2,9,109.9,113.5,120.3,118.275,-0.055,       ,7.38,-163,16.9,-169.7,-2.5,0,  NONE,   NONE,      ,      ,330.7, 3DDiff,3704,      ,74,124,73
2024/5/27, 19:44:57,  +08:00,   GHN0,31.2316341,104.371254,3465.5,29.65,3615.3,24,101.56,107.36,334.56,1.48,-36.75,0.01,-0.04,138.4,138,27.8,28.7,0,17.48,18.91,13.82,197.05,70.58,22.36,2476.7,0.63,331.3,327.22,337.63,330.69,        ,        ,1319.34,1309.67,1299.51,1344.62,1191.35,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3483.1,111, NAV2,9,109.9,113.5,120.3,118.275,-0.07,       ,7.27,-163.9,16.9,-169.6,-2.5,0,  NONE,   NONE,      ,      ,212.6, 3DDiff,3704,      ,74,124,74
2024/5/27, 19:44:58,  +08:00,   GHN0,31.2313137,104.3717117,3467.5,29.65,3612.6,24,101.68,108.29,267.33,1.19,-37.79,0,0.17,131.6,131.9,27.8,28.7,0,17.46,18.83,13.77,196.96,70.43,22.29,2479.6,0.64,331.32,327.25,337.67,330.73,        ,        ,1319.02,1309.25,1298.32,1345.37,1191.18,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3480.5,111, NAV2,9,109.9,113.5,120.3,118.275,-0.05,       ,7.14,-164.9,16.8,-169.6,-2.5,0,  NONE,   NONE,      ,      ,-102.4, 3DDiff,3704,      ,74,124.5,74
2024/5/27, 19:44:59,  +08:00,   GHN0,31.2310429,104.3722076,3464.5,29.65,3606.9,24,102.27,109.71,106.84,1.46,-39.32,0,0.26,124.2,124.7,27.8,28.7,0,17.42,18.94,13.77,196.85,70.58,22.32,2481.8,0.64,331.34,327.27,337.7,330.76,        ,        ,1319.67,1309.34,1297.82,1345.8,1190.95,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3474.8,111, NAV2,9,109.9,113.5,120.3,118.275,-0.082,       ,6.98,-166,16.8,-169.5,-2.5,0,  NONE,   NONE,      ,      ,-307.1, 3DDiff,3704,      ,74,124.5,74
2024/5/27, 19:45:00,  +08:00,   GHN0,31.2308216,104.372757,3461.5,29.65,3599.7,24,102.81,111.38,-45.93,1.15,-43.02,0.03,0.29,116.3,116.9,27.8,28.7,0,17.38,19.01,13.74,196.79,70.66,22.31,2483.2,0.64,331.35,327.29,337.72,330.8,        ,        ,1319.14,1309.05,1297.81,1346.15,1190.73,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3467.6,112, NAV2,9,109.9,113.5,120.3,118.275,-0.135,       ,6.79,-167.2,16.8,-169.4,-2.5,0,  NONE,   NONE,      ,      ,-385.8, 3DDiff,3704,      ,66,96,73
2024/5/27, 19:45:01,  +08:00,   GHN0,31.2306786,104.3733292,3456.5,29.65,3594.8,24,102.91,113.25,-163.87,0.93,-42.67,-0.01,0.41,106.4,108.8,27.8,28.7,0,17.4,19.01,13.8,196.76,70.48,22.25,2482.2,0.63,331.37,327.3,337.74,330.85,        ,        ,1318.59,1307.9,1297.02,1346.09,1190.53,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3462.7,112, NAV2,9,109.9,113.5,120.3,118.275,-0.122,       ,6.56,-168.4,16.8,-169.3,-2.5,0,  NONE,   NONE,      ,      ,-460.6, 3DDiff,3704,      ,66,108,87
2024/5/27, 19:45:02,  +08:00,   GHN0,31.2306061,104.3739624,3446.5,29.65,3588.4,24,103.46,115.27,-345.41,1.72,-43.58,-0.01,0.49,96.5,99.5,27.8,28.7,0,17.4,19,13.7,196.75,70.63,22.23,2484.2,0.63,331.39,327.34,337.78,330.88,        ,        ,1317.78,1308.7,1296.85,1345.81,1190.34,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3456.2,113, NAV2,9,109.9,113.5,120.3,118.275,-0.119,       ,6.29,-169.6,16.8,-169.1,-2.5,0,  NONE,   NONE,      ,      ,-440.9, 3DDiff,3704,      ,66,107,86
2024/5/27, 19:45:03,  +08:00,   GHN0,31.2306309,104.3745956,3443.5,29.65,3583.3,24,104.46,117.16,-388.51,3.15,-44.45,0,0.57,86.6,89.9,27.8,28.7,0,17.33,19.07,13.77,196.73,70.66,22.28,2484.3,0.64,331.4,327.34,337.81,330.92,        ,        ,1317.35,1308.37,1296.51,1345.91,1190.12,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3451.2,114, NAV2,9,109.9,113.5,120.3,118.275,-0.118,       ,5.97,-170.6,16.8,-169,-2.5,0,  NONE,   NONE,      ,      ,-326.8, 3DDiff,3704,      ,66,107,86
