#airframe_info," log_version=""1.03"""," log_content_version=""1.02"""," Product=""GIFD"""," airframe_name=""Cirrus SR20"""," unit_software_part_number=""006-B1177-C2"""," unit_software_version=""21.70"""," system_software_part_number=""006-B2647-N9"""," system_id=""25F7F0B4D""", mode=NORMAL," flightstream_header=""25F7F0B4D_0776""", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2024/5/26, 15:14:05,  +08:00,   GHN0,31.1936989,104.3341141,3784,29.62,3985.9,26,102.36,115.99,88.3,4.74,-4.89,0.02,0.16,184,185.3,27.7,28.8,0.6,18.61,24.03,14,197.87,72.1,24.54,2523.2,0.74,353.14,335.89,361.54,358.02,        ,        ,1308.42,1332.15,1324.3,1367.97,        ,805.44,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3853.5,113, NAV1,127,109.9,113.5,120.3,118.275,-2.531,       ,5.88,66.1,14.4,-175.9,-2.5,0,  NONE,   NONE,      ,      ,51.2, 3DDiff,3704,      ,64,69,71
2024/5/26, 15:14:06,  +08:00,   GHN0,31.1931629,104.3340912,3786,29.62,3990.7,26,102.08,115.76,64.05,5.43,-9.02,0.02,0.08,182.7,184.5,27.7,28.8,0.6,18.67,24.06,14.03,197.85,72.07,24.52,2522.3,0.74,353.24,335.91,361.62,358.06,        ,        ,1308.21,1331.72,1324.11,1367.33,        ,805.49,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3858.3,112, NAV1,127,109.9,113.5,120.3,118.275,-2.535,       ,5.94,64.8,14.4,-175.9,-2.5,0,  NONE,   NONE,      ,      ,263.8, 3DDiff,3704,      ,64,69,72
2024/5/26, 15:14:07,  +08:00,   GHN0,31.1926308,104.3340836,3789,29.62,3997.9,26,101.25,115.1,108.13,6.15,-16.28,0.01,0.07,179.4,182.9,27.7,28.8,0.6,18.89,23.98,14.02,197.83,72.12,24.51,2523.3,0.74,353.32,335.91,361.7,358.11,        ,        ,1308.59,1331.7,1323.33,1367.02,        ,805.52,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3865.5,111, NAV1,127,109.9,113.5,120.3,118.275,-2.531,       ,5.99,63.6,14.4,-175.9,-2.5,0,  NONE,   NONE,      ,      ,397.6, 3DDiff,3704,      ,64,69.5,72
2024/5/26, 15:14:08,  +08:00,   GHN0,31.1921005,104.3341141,3793,29.62,4003.7,26,100.56,114.14,165.15,6.71,-25.15,0.03,0.15,175.3,179.9,27.7,28.8,0.6,18.99,23.92,14.05,197.79,72.05,24.5,2520.3,0.74,353.42,335.93,361.76,358.16,        ,        ,1308.6,1331.79,1322.86,1366.79,        ,805.54,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3871.3,110, NAV1,127,109.9,113.5,120.3,118.275,-2.516,       ,6.04,62.4,14.3,-175.9,-2.5,0,  NONE,   NONE,      ,      ,464.6, 3DDiff,3704,      ,64,69,71
2024/5/26, 15:14:09,  +08:00,   GHN0,31.1915798,104.3341904,3800,29.62,4011.4,26,99.61,112.96,277.23,6.17,-29.5,0.01,0.04,169.7,175.5,27.7,28.8,0.6,19.06,23.92,14.06,197.77,72.09,24.5,2517.3,0.74,353.5,335.95,361.87,358.2,        ,        ,1307.55,1331.94,1321.91,1365.89,        ,805.55,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3879,109, NAV1,127,109.9,113.5,120.3,118.275,-2.481,       ,6.11,61.3,14.3,-175.9,-2.5,0,  NONE,   NONE,      ,      ,523.6, 3DDiff,3704,      ,64,69,71
2024/5/26, 15:14:09,  +08:00,   GHN0,31.1910744,104.3343124,3809,29.62,4016.7,26,99.1,112,393.3,3.98,-32.71,0,-0.03,164.1,170.5,27.7,28.8,0.6,19.05,23.93,14.05,197.8,72.25,24.53,2522.4,0.74,353.58,335.97,361.93,358.25,        ,        ,1308.04,1331.43,1322.37,1365.44,        ,805.58,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3884.3,109, NAV1,127,109.9,113.5,120.3,118.275,-2.503,       ,6.2,60.4,14.3,-175.9,-2.5,0,  NONE,   NONE,      ,      ,338.6, 3DDiff,3704,      ,64,69,71
2024/5/26, 15:14:11,  +08:00,   GHN0,31.1905785,104.3344879,3813,29.62,4015.3,26,98.06,111.46,426.65,2.93,-35.88,0,0.09,157.7,165.3,27.7,28.8,0.6,18.98,23.98,13.99,197.85,72.19,24.54,2519.5,0.74,353.67,335.99,362.02,358.3,        ,        ,1308.08,1330.45,1322.12,1365.19,        ,805.59,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3882.9,107, NAV1,127,109.9,113.5,120.3,118.275,-2.434,       ,6.34,59.7,14.2,-175.8,-2.5,0,  NONE,   NONE,      ,      ,-39.4, 3DDiff,3704,      ,64,69,71
2024/5/26, 15:14:12,  +08:00,   GHN0,31.1901073,104.3347244,3807,29.62,4010.7,26,98.06,110.97,199.73,3.57,-38.67,-0.01,0.23,149.7,158.8,27.7,28.8,0.6,18.94,24.08,14.1,197.85,72.04,24.57,2520.4,0.75,353.74,336.02,362.08,358.35,        ,        ,1306.83,1330.86,1321.54,1365.83,        ,805.61,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3878.3,107, NAV1,127,109.9,113.5,120.3,118.275,-2.396,       ,6.52,59,14.2,-175.8,-2.5,0,  NONE,   NONE,      ,      ,-255.9, 3DDiff,3704,      ,64,69,71
2024/5/26, 15:14:13,  +08:00,   GHN0,31.1896706,104.3350372,3805,29.62,4004.8,26,98.67,110.37,-6.76,2.99,-43.22,0.01,0.27,141.7,150.9,27.7,28.8,0.6,18.86,24.15,14.1,197.81,72.15,24.56,2522.9,0.75,353.81,336.03,362.17,358.41,        ,        ,1307.45,1330.46,1321.49,1365.85,        ,805.65,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3872.4,108, NAV1,127,109.9,113.5,120.3,118.275,-2.45,       ,6.77,58.4,14.2,-175.7,-2.5,0,  NONE,   NONE,      ,      ,-322.8, 3DDiff,3704,      ,64,69.5,72
2024/5/26, 15:14:14,  +08:00,   GHN0,31.1892815,104.3354263,3800,29.62,3998.9,26,99.54,109.89,-141.41,1.91,-45.26,-0.01,0.28,133.3,142.4,27.7,28.8,0.6,18.82,24.19,14.05,197.8,72.18,24.55,2528.3,0.75,353.9,336.08,362.24,358.45,        ,        ,1307.53,1329.99,1322.32,1366.49,        ,805.72,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3866.5,109, NAV1,127,109.9,113.5,120.3,118.275,-2.4,       ,7.07,57.7,14.2,-175.6,-2.5,0,  NONE,   NONE,      ,      ,-460.6, 3DDiff,3704,      ,64,69,71
2024/5/26, 15:14:14,  +08:00,   GHN0,31.1889534,104.3358765,3795,29.62,3989.7,26,101.51,109.75,-280.02,1.11,-46.02,-0.04,0.23,124.3,132.9,27.7,28.8,0.6,18.79,24.22,14.11,197.87,72.27,24.56,2526.1,0.75,353.96,336.08,362.33,358.51,        ,        ,1308.05,1329.68,1322.77,1366.71,        ,805.73,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3857.3,112, NAV1,127,109.9,113.5,120.3,118.275,-2.412,       ,7.43,56.9,14.1,-175.5,-2.5,0,  NONE,   NONE,      ,      ,-578.7, 3DDiff,3704,      ,64,69,71
