#airframe_info," log_version=""1.03"""," log_content_version=""1.02"""," Product=""GIFD"""," airframe_name=""Cirrus SR20"""," unit_software_part_number=""006-B1177-C2"""," unit_software_version=""21.70"""," system_software_part_number=""006-B2647-N9"""," system_id=""25E7EBA0C""", mode=NORMAL," flightstream_header=""25E7EBA0C_2715""", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2024/5/27, 12:27:41,  +08:00,   GHN0,31.0615177,104.3644409,2970.5,29.71,3102.3,25,102.48,115.19,605.22,6.04,-1.45,-0.02,0.02,192.6,192.7,27.8,28.8,0.4,13.6,15.91,13.47,194.87,74,23.6,2473.3,0.68,324.14,313.55,331.86,317.55,        ,        ,1309.03,1349.52,1308.91,1333.87,1170.36,818.46,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,2967.6,111, NAV1,127,109.9,113.5,120.3,118.275,-2.491,0.165,1.04,135.4,6.8,-160.7,-2.5,0,  NONE,   NONE,      ,      ,818.9, 3DDiff,3704,      ,40,64.5,59
2024/5/27, 12:27:42,  +08:00,   GHN0,31.0609951,104.3643265,2982.5,29.71,3116.8,25,101.46,114.24,678.86,6.33,-1.98,0,0,192,192.3,27.8,28.8,0.4,13.65,15.89,13.49,194.84,73.86,23.58,2472.8,0.68,324.15,313.61,331.88,317.58,        ,        ,1308.52,1349.18,1309.85,1334.81,1169.38,818.59,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,2982.1,110, NAV1,127,109.9,113.5,120.3,118.275,-2.465,-0.091,1.12,116.9,6.8,-160.7,-2.5,0,  NONE,   NONE,      ,      ,870.1, 3DDiff,3704,      ,40,64.5,59
2024/5/27, 12:27:43,  +08:00,   GHN0,31.0604801,104.3642349,2995.5,29.71,3131.4,25,100.47,113.25,752.49,6.3,-1.8,-0.01,-0.04,191.5,191.9,27.8,28.8,0.4,13.65,15.88,13.47,194.83,73.86,23.56,2471.5,0.68,324.18,313.67,331.9,317.6,        ,        ,1308.32,1349.54,1309.59,1334.72,1168.61,818.74,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,2996.7,108, NAV1,127,109.9,113.5,120.3,118.275,-2.533,0.085,1.27,101.8,6.7,-160.7,-2.5,0,  NONE,   NONE,      ,      ,881.9, 3DDiff,3704,      ,41,64.5,59
2024/5/27, 12:27:44,  +08:00,   GHN0,31.0599689,104.3641357,3010.5,29.71,3142.5,25.2,99.7,112.41,818.36,4.42,-0.77,-0.01,-0.13,191,191.5,27.8,28.8,0.4,13.69,15.87,13.5,194.79,73.8,23.57,2471.2,0.67,324.2,313.71,331.92,317.61,        ,        ,1308.93,1349.79,1310.34,1333.81,1167.75,818.87,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3007.8,108, NAV1,127,109.9,113.5,120.3,118.275,-2.53,       ,1.47,90,6.7,-160.6,-2.5,0,  NONE,   NONE,      ,      ,799.2, 3DDiff,3704,      ,41,64,59
2024/5/27, 12:27:45,  +08:00,   GHN0,31.0594521,104.3640442,3021.5,29.71,3151.6,25.2,99.39,111.95,814.42,3.9,-0.88,-0.01,-0.1,190.7,191.3,27.8,28.8,0.4,13.69,15.83,13.5,194.77,73.86,23.39,2471.4,0.67,324.21,313.74,331.95,317.63,        ,        ,1309.62,1350.17,1309.94,1333.19,1166.88,819.03,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3016.9,107, NAV1,127,109.9,113.5,120.3,118.275,-2.507,       ,1.68,81,6.7,-160.6,-2.5,0,  NONE,   NONE,      ,      ,547.2, 3DDiff,3704,      ,40,64,58
2024/5/27, 12:27:46,  +08:00,   GHN0,31.0589409,104.3639526,3028.5,29.71,3157.4,25.2,99.1,111.67,690.45,4.37,-1.33,-0.01,-0.03,192,191.2,27.8,28.8,0.4,13.74,15.81,13.23,194.71,73.85,23.02,2463.5,0.65,324.24,313.79,331.98,317.65,        ,        ,1309.91,1350.22,1309.03,1331.82,1165.98,819.16,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3022.7,107, NAV1,127,109.9,113.5,120.3,118.275,-2.543,       ,1.91,73.9,6.6,-160.6,-2.5,0,  NONE,   NONE,      ,      ,389.8, 3DDiff,3704,      ,40,64.5,58
2024/5/27, 12:27:47,  +08:00,   GHN0,31.0584278,104.3638611,3035.5,29.71,3162.5,25.2,99.46,111.46,545.3,3.45,-0.92,0.01,-0.03,191.6,191,27.8,28.8,0.4,13.8,15.84,13.19,194.66,73.81,22.91,2476.4,0.65,324.27,313.83,331.99,317.67,        ,        ,1309.45,1349.85,1309.37,1332.07,1165.14,819.29,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3027.8,107, NAV1,127,109.9,113.5,120.3,118.275,-2.449,       ,2.14,68.1,6.6,-160.5,-2.5,0,  NONE,   NONE,      ,      ,318.9, 3DDiff,3704,      ,40,64.5,59
2024/5/27, 12:27:48,  +08:00,   GHN0,31.0579185,104.3637772,3038.5,29.71,3166.4,25.2,98.97,111.32,404.23,4.06,-1.76,-0.03,0,189.8,190.8,27.8,28.8,0.3,13.7,15.87,13.12,194.65,73.9,22.93,2478.8,0.65,324.28,313.87,332.02,317.69,        ,        ,1308.87,1348.63,1309.19,1331.8,1164.25,819.46,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3031.8,107, NAV1,127,109.9,113.5,120.3,118.275,-2.462,       ,2.35,63.1,6.6,-160.5,-2.5,0,  NONE,   NONE,      ,      ,244.1, 3DDiff,3704,      ,40,64.5,59
2024/5/27, 12:27:49,  +08:00,   GHN0,31.0574207,104.3636932,3042.5,29.71,3171.1,25.2,99.31,111.17,308.18,3.97,-0.77,-0.01,0,190.2,190.4,27.8,28.8,0.4,13.72,15.86,13.13,194.63,74.03,22.93,2476.4,0.65,324.31,313.91,332.05,317.72,        ,        ,1308.36,1347.71,1309.32,1332.18,1163.38,819.6,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3036.4,107, NAV1,127,109.9,113.5,120.3,118.275,-2.491,       ,2.56,58.9,6.6,-160.4,-2.5,0,  NONE,   NONE,      ,      ,287.4, 3DDiff,3704,      ,41,64.5,59
2024/5/27, 12:27:50,  +08:00,   GHN0,31.0568943,104.3636093,3046.5,29.71,3178.3,25.2,98.64,110.99,269.51,4.24,6.7,-0.03,0.01,189.6,190.4,27.8,28.8,0.3,13.78,15.85,13.16,194.62,73.81,22.91,2474.1,0.65,324.33,313.95,332.07,317.75,        ,        ,1307.05,1346.71,1308.63,1332.41,1162.51,819.77,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3043.6,106, NAV1,127,109.9,113.5,120.3,118.275,-2.462,       ,2.76,55.4,6.5,-160.4,-2.5,0,  NONE,   NONE,      ,      ,291.3, 3DDiff,3704,      ,41,64,59
