#airframe_info," log_version=""1.03"""," log_content_version=""1.02"""," Product=""GIFD"""," airframe_name=""Cirrus SR20"""," unit_software_part_number=""006-B1177-C2"""," unit_software_version=""21.70"""," system_software_part_number=""006-B2647-N9"""," system_id=""25F7F0B4D""", mode=NORMAL," flightstream_header=""25F7F0B4D_0760""", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2024/5/23, 16:19:28,  +08:00,   GHN2,31.2958889,104.2822876,5652.5,29.71,5954.7,20.2,105.13,117.35,30.07,-0.79,-1.79,0.04,-0.09,182,179.5,27.7,28.8,0.6,10.99,16.01,13.01,197.76,74.13,22.81,2529.7,0.7,342.52,323.14,351.36,346.98,        ,        ,1304.16,1320.66,1320.1,1356.45,561.22,875.19,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,5824.3,119,  GPS,127,109.9,113.5,120.3,118.275,7.816,       ,1.67,-149.2,20.7,176.1,-2.5,0,  NONE,   NONE,      ,      ,-126,     3D,3704,      ,       ,160,       
2024/5/23, 16:19:29,  +08:00,   GHN2,31.2953434,104.2823181,5649.5,29.71,5949,20.2,105.01,118.19,-1.28,0.09,1.18,-0.02,0.07,180.8,179.6,27.7,28.8,0.6,11.01,16.02,13.04,197.79,74.07,22.82,2530.2,0.69,342.56,323.2,351.38,347.02,        ,        ,1303.8,1320.59,1320.72,1356.62,561.28,875.21,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,5818.7,119,  GPS,127,109.9,113.5,120.3,118.275,7.803,       ,1.7,-149.9,20.6,176.1,-2.5,0,  NONE,   NONE,      ,      ,-315,     3D,3704,      ,       ,160,       
2024/5/23, 16:19:30,  +08:00,   GHN2,31.2947903,104.2823563,5644.5,29.71,5945.7,20.2,106.41,119,-150.06,1.74,7.14,0.02,0.21,182.1,179.7,27.7,28.8,0.6,10.96,15.98,13.03,197.86,74.13,22.81,2531.5,0.7,342.59,323.21,351.43,347.04,        ,        ,1304,1321.23,1320.16,1356.43,561.32,875.19,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,5815.4,120,  GPS,127,109.9,113.5,120.3,118.275,7.79,       ,1.75,-149.8,20.6,176.1,-2.5,0,  NONE,   NONE,      ,      ,-204.7,     3D,3704,      ,       ,160,       
2024/5/23, 16:19:31,  +08:00,   GHN2,31.2942371,104.2823639,5640.5,29.71,5947.6,20.2,106.39,119.25,-225.11,3.34,14.67,0,0.19,183.3,181,27.7,28.8,0.6,11.05,16,13,197.94,74.1,22.82,2526.5,0.7,342.61,323.24,351.47,347.08,        ,        ,1303.21,1321.79,1320.16,1356.86,561.36,875.18,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,5817.2,120,  GPS,127,109.9,113.5,120.3,118.275,7.776,       ,1.79,-149.3,20.6,176.1,-2.5,0,  NONE,   NONE,      ,      ,90.6,     3D,3704,      ,       ,160,       
2024/5/23, 16:19:32,  +08:00,   GHN2,31.2936859,104.2823563,5646.5,29.71,5955.5,20.2,107.26,118.96,-125.17,3.5,22.59,-0.02,0.08,185.5,183.5,27.7,28.8,0.6,11.06,16.01,13,197.95,74.09,22.82,2529.9,0.7,342.63,323.26,351.5,347.1,        ,        ,1303.09,1321.71,1320,1356.78,561.4,875.2,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,5825.1,121,  GPS,127,109.9,113.5,120.3,118.275,7.763,       ,1.84,-148.1,20.5,176.1,-2.5,0,  NONE,   NONE,      ,      ,366.1,     3D,3704,      ,       ,160,       
2024/5/23, 16:19:33,  +08:00,   GHN2,31.2931366,104.2823105,5655.5,29.71,5962.1,20.2,107.35,118.5,140.54,2.42,28.53,-0.01,-0.02,189.9,186.9,27.7,28.8,0.6,11.12,16,13.05,197.91,74.07,22.82,2529.8,0.7,342.64,323.29,351.53,347.13,        ,        ,1303.32,1322.59,1318.88,1357.02,561.46,875.19,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,5831.8,121,  GPS,127,109.9,113.5,120.3,118.275,7.748,       ,1.9,-146.4,20.5,176.1,-2.5,0,  NONE,   NONE,      ,      ,370.1,     3D,3704,      ,       ,160,       
2024/5/23, 16:19:34,  +08:00,   GHN2,31.2925949,104.2822189,5658.5,29.71,5965,20.2,107.16,118.13,245.22,2.02,31.52,-0.01,0.14,195.6,191.2,27.7,28.8,0.6,11.19,15.99,13,197.84,74.12,22.79,2527.9,0.69,342.68,323.32,351.57,347.16,        ,        ,1303.22,1322.72,1319.01,1356.46,561.48,875.2,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,5834.7,121,  GPS,127,109.9,113.5,120.3,118.275,7.734,       ,1.97,-144.3,20.5,176.1,-2.5,0,  NONE,   NONE,      ,      ,173.2,     3D,3704,      ,       ,159.5,       
2024/5/23, 16:19:35,  +08:00,   GHN2,31.2920609,104.2820511,5657.5,29.71,5972.3,20.2,107.14,117.74,172.82,3.07,33.55,-0.02,0.28,201.8,196.8,27.7,28.8,0.6,11.23,15.99,12.98,197.75,74.09,22.81,2527.2,0.7,342.7,323.34,351.61,347.17,        ,        ,1303.48,1321.35,1319.65,1356.34,561.53,875.19,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,5841.9,121,  GPS,127,109.9,113.5,120.3,118.275,7.718,       ,2.07,-141.6,20.4,176,-2.5,0,  NONE,   NONE,      ,      ,110.2, 3DDiff,3704,      ,86,169.5,174
2024/5/23, 16:19:36,  +08:00,   GHN2,31.2915516,104.2818298,5658.5,29.71,5976.5,20.2,106.38,117.27,104.23,3.9,33.28,0,0.36,208.2,203.1,27.7,28.8,0.6,11.25,15.97,12.96,197.62,74.13,22.82,2521.5,0.69,342.73,323.37,351.64,347.2,        ,        ,1303.53,1320.84,1320.55,1356.12,561.59,875.2,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,5846.1,120,  GPS,127,109.9,113.5,120.3,118.275,7.702,       ,2.19,-138.1,20.4,176,-2.5,0,  NONE,   NONE,      ,      ,228.3, 3DDiff,3704,      ,86,169,174
2024/5/23, 16:19:37,  +08:00,   GHN2,31.2910709,104.2815323,5662.5,29.71,5983.6,20.2,105.75,116.71,142.62,4.78,41.79,-0.06,0.21,213.6,210.1,27.7,28.8,0.6,11.28,15.96,12.93,197.54,74.05,22.8,2519.6,0.69,342.75,323.38,351.68,347.22,        ,        ,1303.11,1320.47,1320.19,1356.54,561.59,875.2,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,5853.3,119,  GPS,127,109.9,113.5,120.3,118.275,7.686,       ,2.36,-133.7,20.4,175.9,-2.5,0,  NONE,   NONE,      ,      ,378, 3DDiff,3704,      ,86,169,174
