#airframe_info," log_version=""1.03"""," log_content_version=""1.02"""," Product=""GIFD"""," airframe_name=""Cirrus SR20"""," unit_software_part_number=""006-B1177-C2"""," unit_software_version=""21.70"""," system_software_part_number=""006-B2647-N9"""," system_id=""25F6526D8""", mode=NORMAL," flightstream_header=""25F6526D8_0644""", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2024/5/24, 09:05:05,  +08:00,  GHN00,31.0460587,104.3712387,4454.9,29.74,4682.6,21.8,104.26,117.25,-37.66,1.3,-0.54,0.01,0.02,299.6,304.2,27.8,28.7,-0.1,20.15,19.57,13.13,190.9,73.49,21.99,2557.5,0.65,343.97,330.72,345.64,348.33,        ,        ,1312.05,1301.01,1300.2,1343.1,1585.78,659.4,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,4547.6,115, NAV1,127,109.9,113.5,120.3,118.275,-2.377,       ,9.75,-162.3,6,-155,-2.5,0,  NONE,   NONE,      ,      ,-82.7, 3DDiff,3704,      ,36,50,54
2024/5/24, 09:05:06,  +08:00,  GHN00,31.0463409,104.3707047,4452.9,29.74,4681.3,21.8,104.49,117.52,-67.9,1.43,-0.65,0.01,0.02,299.5,304.1,27.8,28.7,-0.1,20.17,19.55,13.12,190.86,73.51,22.02,2555.8,0.65,344.05,330.82,345.77,348.46,        ,        ,1311.83,1301.01,1300.57,1342.4,1585.61,659.38,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,4546.2,116, NAV1,127,109.9,113.5,120.3,118.275,-2.39,       ,9.76,-162.2,6,-155.3,-2.5,0,  NONE,   NONE,      ,      ,-70.9, 3DDiff,3704,      ,36,49.5,54
2024/5/24, 09:05:07,  +08:00,  GHN00,31.046629,104.370163,4451.9,29.74,4680.8,21.8,104.71,117.76,-86.94,1.46,-0.65,0,0.01,299.5,304.1,27.8,28.7,-0.1,20.19,19.54,13.15,190.91,73.63,22.01,2557.1,0.65,344.14,330.92,345.88,348.57,        ,        ,1311.2,1301.23,1300.54,1341.92,1585.44,659.35,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,4545.7,116, NAV1,127,109.9,113.5,120.3,118.275,-2.354,       ,9.77,-162.1,6,-155.6,-2.5,0,  NONE,   NONE,      ,      ,-39.4, 3DDiff,3704,      ,36,49.5,54
2024/5/24, 09:05:08,  +08:00,  GHN00,31.0469112,104.3696136,4450.9,29.74,4680.6,21.8,105,117.95,-84.39,1.56,-0.52,0.01,0.02,299.4,304,27.8,28.7,-0.1,20.19,19.54,13.13,191,73.64,22.02,2557.8,0.65,344.22,331.02,345.99,348.71,        ,        ,1310.96,1301.18,1299.85,1342.02,1585.25,659.32,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,4545.5,116, NAV1,127,109.9,113.5,120.3,118.275,-2.383,       ,9.78,-162,6.1,-155.9,-2.5,0,  NONE,   NONE,      ,      ,-15.7, 3DDiff,3704,      ,36,49.5,54
2024/5/24, 09:05:09,  +08:00,  GHN00,31.0471916,104.3690872,4450.9,29.74,4681,21.8,105.08,118.11,-55.38,2,-1.37,0,0.05,299.4,304,27.8,28.7,-0.1,20.2,19.52,13.15,191.04,73.6,22,2557.4,0.65,344.31,331.13,346.11,348.81,        ,        ,1311.36,1301.21,1300.27,1342.96,1585.07,659.29,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,4546,116, NAV1,127,109.9,113.5,120.3,118.275,-2.364,       ,9.79,-161.9,6.1,-156.2,-2.5,0,  NONE,   NONE,      ,      ,15.7, 3DDiff,3704,      ,36,50,54
2024/5/24, 09:05:10,  +08:00,  GHN00,31.0474815,104.3685303,4452.9,29.74,4682,21.8,105.36,118.07,-22.17,3.46,-7.65,0.01,0.1,299.3,303.6,27.8,28.7,-0.1,20.21,19.51,13.1,191.02,73.53,22.03,2557.3,0.66,344.38,331.22,346.22,348.92,        ,        ,1310.33,1301.02,1300.22,1343.07,1584.89,659.29,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,4546.9,117, NAV1,127,109.9,113.5,120.3,118.275,-2.357,       ,9.8,-161.8,6.1,-156.5,-2.5,0,  NONE,   NONE,      ,      ,114.2, 3DDiff,3704,      ,36,50,54
2024/5/24, 09:05:11,  +08:00,  GHN00,31.0477524,104.3679886,4456.9,29.74,4686.2,21.8,105.08,117.68,75.81,2.24,-16.53,0.01,-0.1,297,302.5,27.8,28.7,-0.1,20.28,19.46,13.13,191,73.52,22,2554.8,0.65,344.46,331.31,346.33,349.07,        ,        ,1309.75,1301.12,1299.64,1342.76,1584.72,659.26,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,4551.2,116, NAV1,127,109.9,113.5,120.3,118.275,-2.309,       ,9.81,-161.7,6.1,-156.8,-2.5,0,  NONE,   NONE,      ,      ,263.8, 3DDiff,3704,      ,36,50,54
2024/5/24, 09:05:12,  +08:00,  GHN00,31.0480042,104.3674393,4457.9,29.74,4688.4,21.8,104.68,117,119.81,3.18,-27.32,0.02,0.13,292.3,300,27.8,28.7,-0.1,20.41,19.33,13.1,191.01,73.5,21.99,2554.1,0.65,344.54,331.39,346.44,349.15,        ,        ,1310.2,1301.47,1299.81,1343.03,1584.53,659.21,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,4553.4,116, NAV1,127,109.9,113.5,120.3,118.275,-2.28,       ,9.83,-161.6,6.1,-157.1,-2.5,0,  NONE,   NONE,      ,      ,145.7, 3DDiff,3704,      ,36,49.5,54
2024/5/24, 09:05:13,  +08:00,  GHN00,31.0482159,104.3668518,4459.9,29.74,4690.1,21.8,104.78,116.01,112.51,3.18,-40.98,0.04,0.16,286.7,295,27.8,28.7,-0.1,20.47,19.35,13.07,190.98,73.52,21.99,2554,0.65,344.61,331.48,346.53,349.25,        ,        ,1311.12,1302.02,1299.92,1342.59,1584.36,659.24,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,4555,116, NAV1,127,109.9,113.5,120.3,118.275,-2.164,       ,9.86,-161.5,6.1,-157.4,-2.5,0,  NONE,   NONE,      ,      ,110.2, 3DDiff,3704,      ,36,49.5,54
2024/5/24, 09:05:14,  +08:00,  GHN00,31.0483627,104.366272,4462.9,29.74,4688.3,21.8,104.81,114.78,139.63,0.94,-44.59,-0.02,0.15,278.5,288.7,27.8,28.7,-0.1,20.57,19.38,13.03,190.94,73.56,22.01,2552.9,0.65,344.68,331.56,346.65,349.38,        ,        ,1310.73,1302.23,1299.33,1342.23,1584.17,659.21,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,4553.3,116, NAV1,127,109.9,113.5,120.3,118.275,-2.222,0.623,10.08,-161.4,6.1,-157.7,-2.5,0,  NONE,   NONE,      ,      ,-74.8, 3DDiff,3704,      ,36,49.5,54
