#airframe_info," log_version=""1.03"""," log_content_version=""1.02"""," Product=""GIFD"""," airframe_name=""Cirrus SR20"""," unit_software_part_number=""006-B1177-C2"""," unit_software_version=""21.70"""," system_software_part_number=""006-B2647-N9"""," system_id=""25E97C50E""", mode=NORMAL," flightstream_header=""25E97C50E_0789""", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2024/5/24, 07:59:56,  +08:00,  GHN00,31.1835194,104.3162384,3020.9,29.74,3139.7,25,105.72,125.77,-13.83,1.36,-42.74,-0.01,0.29,46.5,51.7,27.7,28.7,0.3,24.38,23.38,12.39,196.35,73.48,22.66,2543.1,0.66,345.33,333.66,337.36,342.68,        ,        ,1337.06,1373.27,1367.5,1361.32,        ,672.73,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3007.1,115, NAV1,127,109.9,113.5,124.3,118.275,-1.838,       ,9.83,-125.6,13.8,-179.7,-2.5,0,  NONE,   NONE,      ,      ,-122, 3DDiff,3704,      ,44,60.5,58
2024/5/24, 07:59:57,  +08:00,  GHN00,31.1839561,104.3166962,3016.9,29.74,3132.1,25,105.72,126.16,-96.74,1.15,-44.81,-0.01,0.36,37.7,43.9,27.7,28.7,0.3,24.38,23.41,12.29,196.31,73.34,22.55,2543.6,0.66,345.42,333.73,337.43,342.74,        ,        ,1338.52,1374.57,1369.21,1362.08,        ,672.82,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,2999.5,115, NAV1,127,109.9,113.5,124.3,118.275,-2.197,       ,9.87,-124.5,13.8,-179.6,-2.5,0,  NONE,   NONE,      ,      ,-228.3, 3DDiff,3704,      ,44,60,58
2024/5/24, 07:59:58,  +08:00,  GHN00,31.1844482,104.3170624,3013.9,29.74,3126.9,25,106.04,126.47,-157.97,2,-43.08,-0.04,0.49,27.8,35.5,27.7,28.7,0.3,24.32,23.45,12.22,196.24,73.43,22.42,2540.7,0.66,345.53,333.81,337.5,342.78,        ,        ,1338.85,1374.77,1370.09,1361.76,        ,672.93,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,2994.3,115, NAV1,127,109.9,113.5,124.3,118.275,-2.447,       ,9.94,-123.2,13.9,-179.5,-2.5,0,  NONE,   NONE,      ,      ,-275.6, 3DDiff,3704,      ,44,59.5,58
2024/5/24, 07:59:59,  +08:00,  GHN00,31.1849842,104.3173447,3009.9,29.74,3124.4,25,106.03,126.33,-211.27,3.21,-45.9,0,0.58,17.4,26.5,27.7,28.7,0.3,24.28,23.47,12.16,196.18,73.43,22.27,2537.4,0.64,345.63,333.87,337.56,342.86,        ,        ,1340.29,1375.06,1370.48,1362.03,        ,673.04,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,2991.9,115, NAV1,127,109.9,113.5,124.3,118.275,-2.37,       ,10.04,-121.5,13.9,-179.4,-2.5,0,  NONE,   NONE,      ,      ,-153.5, 3DDiff,3704,      ,44,59.5,58
2024/5/24, 08:00:00,  +08:00,  GHN00,31.1855488,104.3175125,3010.9,29.74,3125.4,25,106.15,125.63,-148.98,3.37,-43.51,-0.01,0.44,7.5,16.8,27.7,28.7,0.3,24.22,23.49,12.1,196.11,73.5,22.22,2534.7,0.64,345.72,333.94,337.63,342.91,        ,        ,1340.58,1374.94,1370.48,1363.29,        ,673.13,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,2992.8,115, NAV1,127,109.9,113.5,124.3,118.275,-2.428,       ,10.22,-119.7,13.9,-179.4,-2.5,0,  NONE,   NONE,      ,      ,43.3, 3DDiff,3704,      ,44,59.5,58
2024/5/24, 08:00:01,  +08:00,  GHN00,31.1861248,104.3175735,3007.9,29.74,3127.6,25,105.17,124.58,-103.33,3.09,-44.12,0,0.42,357.9,7.7,27.7,28.7,0.3,24.18,23.52,12.1,196.02,73.57,22.18,2539,0.64,345.82,334.01,337.7,342.99,        ,        ,1340.67,1375.49,1370.61,1364.37,        ,673.25,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,2995,114, NAV1,127,109.9,113.5,124.3,118.275,-2.29,       ,10.47,-117.9,14,-179.4,-2.5,0,  NONE,   NONE,      ,      ,145.7, 3DDiff,3704,      ,44,59,57
2024/5/24, 08:00:02,  +08:00,  GHN00,31.1866989,104.3175354,3009.9,29.74,3129.2,25,105.31,123.3,-49.16,3.89,-44.4,0.01,0.38,349.6,359,27.7,28.7,0.3,24.11,23.63,12.08,195.94,73.49,22.18,2536.4,0.64,345.93,334.08,337.77,343.04,        ,        ,1341.17,1375.5,1370.74,1365.01,        ,673.36,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,2996.6,114, NAV1,127,109.9,113.5,124.3,118.275,-2.303,       ,10.8,-116.3,14,-179.4,-2.5,0,  NONE,   NONE,      ,      ,157.5, 3DDiff,3704,      ,44,59.5,57
2024/5/24, 08:00:03,  +08:00,  GHN00,31.187252,104.3173981,3014.9,29.74,3131.9,25,105.02,122,80.06,3.47,-43.29,0,0.31,341.1,350.5,27.7,28.7,0.3,24.02,23.63,12.03,195.91,73.47,22.15,2533.6,0.64,346.03,334.15,337.84,343.11,        ,        ,1341.36,1375.98,1370.61,1365.57,        ,673.46,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,2999.3,114, NAV1,127,109.9,113.5,124.3,118.275,-2.268,       ,11.19,-114.9,14,-179.4,-2.5,0,  NONE,   NONE,      ,      ,145.7, 3DDiff,3704,      ,44,59.5,57
2024/5/24, 08:00:04,  +08:00,  GHN00,31.1877785,104.3171768,3015.9,29.74,3132.2,25,104.7,120.71,138.69,2.54,-43.73,-0.01,0.25,333,342.3,27.7,28.7,0.3,24.03,23.61,12,195.89,73.36,22.14,2534.4,0.64,346.13,334.22,337.92,343.18,        ,        ,1341.56,1376.71,1370.4,1365.89,        ,673.57,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,2999.6,113, NAV1,127,109.9,113.5,124.3,118.275,-2.306,       ,11.63,-113.9,14.1,-179.4,-2.5,0,  NONE,   NONE,      ,      ,63, 3DDiff,3704,      ,44,59,57
2024/5/24, 08:00:05,  +08:00,  GHN00,31.1882668,104.316864,3015.9,29.74,3129,25,104.58,119.6,104.68,1.97,-43.49,-0.01,0.28,324.7,334.4,27.7,28.7,0.3,24.03,23.6,12.05,195.91,73.38,22.14,2536,0.64,346.25,334.3,337.99,343.25,        ,        ,1342.12,1376.34,1369.6,1366.73,        ,673.67,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,2996.5,113, NAV1,127,109.9,113.5,124.3,118.275,-2.342,       ,12.09,-113.4,14.1,-179.5,-2.5,0,  NONE,   NONE,      ,      ,-94.5, 3DDiff,3704,      ,42,49,52
