#airframe_info," log_version=""1.03"""," log_content_version=""1.02"""," Product=""GIFD"""," airframe_name=""Cirrus SR20"""," unit_software_part_number=""006-B1177-C2"""," unit_software_version=""21.70"""," system_software_part_number=""006-B2647-N9"""," system_id=""25E97BAC7""", mode=NORMAL," flightstream_header=""25E97BAC7_2559""", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2024/5/25, 09:09:33,  +08:00,   GHN1,31.1749229,104.2750702,5133,29.62,5435.9,19.8,105.75,122.05,-86.97,0.99,0.8,0.01,0.02,187.7,190.3,27.7,28.8,0.3,17,19.3,13.73,190.04,74.93,22.41,2482.3,0.66,316.39,307.83,320.65,321.52,        ,        ,1285.56,1288.4,1269.24,1290.35,1159.87,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,5303.9,118, NAV1,127,109.9,113.5,120.3,118.275,1.783,0.161,6.54,68,13.6,171.2,-2.5,0,  NONE,   NONE,      ,      ,-90.6, 3DDiff,3704,      ,44,71.5,58
2024/5/25, 09:09:34,  +08:00,   GHN1,31.1743603,104.2749786,5131,29.62,5435.4,19.8,105.78,122.4,-100.12,1.1,-1.24,0.01,0.01,187.8,190.4,27.7,28.8,0.3,16.99,19.32,13.72,189.98,75.11,22.39,2482,0.66,316.47,307.88,320.7,321.58,        ,        ,1285.5,1288.52,1268.76,1289.89,1159.86,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,5303.4,118, NAV1,127,109.9,113.5,120.3,118.275,1.963,0.338,6.59,68.1,13.5,171.2,-2.5,0,  NONE,   NONE,      ,      ,-59.1, 3DDiff,3704,      ,44,71,58
2024/5/25, 09:09:35,  +08:00,   GHN1,31.1737957,104.2748947,5131,29.62,5435.1,19.8,106.5,122.66,-85.08,1.64,-10.32,0,0.03,187.9,190,27.7,28.8,0.3,16.96,19.33,13.76,189.95,75.24,22.41,2485.6,0.66,316.54,307.92,320.76,321.61,        ,        ,1286.8,1288.61,1269.47,1289.59,1159.81,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,5303.2,119, NAV1,127,109.9,113.5,120.3,118.275,1.865,0.318,6.64,68.2,13.5,171.1,-2.5,0,  NONE,   NONE,      ,      ,-19.7, 3DDiff,3704,      ,44,71,58
2024/5/25, 09:09:36,  +08:00,   GHN1,31.1732292,104.2748184,5133,29.62,5435,19.8,106.43,122.73,-18.56,1.89,-21.05,0.02,0.04,185,188.5,27.7,28.8,0.3,17.13,19.31,13.74,189.91,75.07,22.4,2483.7,0.66,316.61,307.98,320.82,321.66,        ,        ,1286.65,1289.84,1270.18,1289.49,1159.74,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,5303.1,119, NAV1,127,109.9,113.5,120.3,118.275,1.748,0.346,6.68,68.2,13.5,171.1,-2.5,0,  NONE,   NONE,      ,      ,-3.9, 3DDiff,3704,      ,44,71,58
2024/5/25, 09:09:37,  +08:00,   GHN1,31.1726627,104.2747879,5133,29.62,5434.5,19.8,106.48,122.5,-0.24,2.69,-30.78,0.03,0.17,179.8,185.3,27.7,28.8,0.3,17.34,19.17,13.7,189.87,74.91,22.37,2483,0.66,316.68,308.03,320.88,321.69,        ,        ,1286.26,1289.84,1269.7,1288.59,1159.73,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,5302.6,119, NAV1,127,109.9,113.5,120.3,118.275,1.898,0.312,6.72,68.2,13.4,171,-2.5,0,  NONE,   NONE,      ,      ,-23.6, 3DDiff,3704,      ,44,71,58
2024/5/25, 09:09:38,  +08:00,   GHN1,31.1720963,104.2748108,5132,29.62,5435.4,19.8,106.43,121.9,-21.48,3.07,-37.42,-0.01,0.26,173,180.2,27.7,28.8,0.3,17.51,19.09,13.68,189.84,74.99,22.39,2482.4,0.66,316.75,308.06,320.93,321.72,        ,        ,1287.07,1290.56,1269.82,1288.97,1159.7,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,5303.4,119, NAV1,127,109.9,113.5,120.3,118.275,1.943,0.314,6.78,68.3,13.4,171,-2.5,0,  NONE,   NONE,      ,      ,-7.9, 3DDiff,3704,      ,44,72.5,72
2024/5/25, 09:09:39,  +08:00,   GHN1,31.1715431,104.27491,5132,29.62,5435.5,19.8,106.61,121.08,-28.02,2.96,-43.84,0.02,0.32,165.2,173.4,27.7,28.8,0.3,17.6,19.01,13.67,189.8,75.08,22.38,2482.2,0.66,316.82,308.11,320.98,321.75,        ,        ,1287.06,1291.2,1270.13,1289.01,1159.69,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,5303.6,119, NAV1,127,109.9,113.5,120.3,118.275,1.963,0.261,6.89,68.4,13.4,171,-2.5,0,  NONE,   NONE,      ,      ,-11.8, 3DDiff,3704,      ,44,73,72
2024/5/25, 09:09:40,  +08:00,   GHN1,31.1710072,104.2751007,5131,29.62,5440.6,19.8,106.19,120.03,-9.31,3.23,-45.27,0,0.49,154.7,165.6,27.7,28.8,0.3,17.69,18.97,13.65,189.8,75.16,22.36,2476.6,0.65,316.9,308.15,321.04,321.79,        ,        ,1287.22,1291.28,1269.86,1289.41,1159.62,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,5308.7,119, NAV1,127,109.9,113.5,120.3,118.275,1.894,0.245,7.07,68.6,13.3,171,-2.5,0,  NONE,   NONE,      ,      ,-47.2, 3DDiff,3704,      ,44,71,58
2024/5/25, 09:09:41,  +08:00,   GHN1,31.1705112,104.275383,5131,29.62,5440.9,19.8,106.3,118.77,-42.62,2.88,-44.84,-0.03,0.35,145.8,156,27.7,28.8,0.3,17.65,18.92,13.67,189.82,75.25,22.4,2476.1,0.66,316.95,308.19,321.1,321.82,        ,        ,1288.34,1292.25,1269.74,1290.18,1159.61,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,5308.9,119, NAV1,127,109.9,113.5,120.3,118.275,1.767,       ,7.34,68.9,13.3,171.1,-2.5,0,  NONE,   NONE,      ,      ,23.6, 3DDiff,3704,      ,44,71,58
2024/5/25, 09:09:42,  +08:00,   GHN1,31.1700668,104.2757568,5129,29.62,5440.8,19.8,105.61,117.54,-49.38,2.58,-44.85,-0.01,0.42,136.3,147,27.7,28.8,0.3,17.58,18.99,13.68,189.85,75.23,22.38,2479.2,0.66,317.02,308.23,321.14,321.86,        ,        ,1289.36,1291.88,1270.13,1290.7,1159.56,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,5308.4,118, NAV1,127,109.9,113.5,120.3,118.275,1.536,       ,7.69,68.9,13.3,171.1,-2.5,0,  NONE,   NONE,      ,      ,-15.7, 3DDiff,3704,      ,44,71,58
