#airframe_info," log_version=""1.03"""," log_content_version=""1.02"""," Product=""GIFD"""," airframe_name=""Cirrus SR20"""," unit_software_part_number=""006-B1177-C2"""," unit_software_version=""21.70"""," system_software_part_number=""006-B2647-N9"""," system_id=""25F653C7F""", mode=NORMAL," flightstream_header=""25F653C7F_2649""", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2024/5/26, 10:33:39,  +08:00,   GHN1,31.2557659,104.2891388,3308.5,29.71,3426,21.8,104.98,114.06,-64.61,1.6,-0.43,0,-0.06,177.7,179.6,27.7,28.8,0,13.5,13.17,13.56,191.7,71.49,22.63,2547.1,0.67,321.57,319.86,345.47,325.68,        ,        ,1312.21,1313.21,1290.1,1322.2,        ,830.18,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3295.1,114, NAV2,352,109.9,113.5,120.3,118.275,-0.36,       ,4.54,53.1,18.2,176.4,-2.5,0,  NONE,   NONE,      ,      ,-133.9, 3DDiff,3704,      ,34,93.5,71
2024/5/26, 10:33:40,  +08:00,   GHN1,31.2552338,104.2891693,3307.5,29.71,3422.9,21.8,105.73,114.22,-99.22,1.78,-1.2,0.01,0.04,177.8,179.4,27.7,28.8,0,13.56,13.13,13.51,191.67,71.48,22.39,2540.8,0.66,321.59,319.87,345.48,325.68,        ,        ,1314.5,1313.79,1290.08,1321.66,        ,830.2,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3292.1,115, NAV2,352,109.9,113.5,120.3,118.275,-0.35,       ,4.56,52.8,18.2,176.4,-2.5,0,  NONE,   NONE,      ,      ,-165.4, 3DDiff,3704,      ,34,93.5,71
2024/5/26, 10:33:41,  +08:00,   GHN1,31.2547035,104.2891998,3304.5,29.71,3421.4,21.8,105.59,114.3,-127.48,2.5,-3.43,-0.02,0.07,177,179.2,27.7,28.8,0,13.55,13.14,13.36,191.66,71.59,22.22,2537.3,0.65,321.6,319.88,345.5,325.68,        ,        ,1313.36,1314.22,1289.51,1321.86,        ,830.21,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3290.1,114, NAV2,352,109.9,113.5,120.3,118.275,-0.351,       ,4.57,52.8,18.2,176.4,-2.5,0,  NONE,   NONE,      ,      ,-126, 3DDiff,3704,      ,34,94,72
2024/5/26, 10:33:42,  +08:00,   GHN1,31.2541733,104.2892456,3302.5,29.71,3420.3,21.8,105.09,114.28,-145.56,2.71,-10.48,-0.02,-0.03,175.3,178.4,27.7,28.8,0,13.55,13.15,13.27,191.65,71.55,22.21,2528.6,0.65,321.61,319.91,345.52,325.68,        ,        ,1313.6,1313.86,1288.53,1321.37,        ,830.26,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3289,114, NAV2,352,109.9,113.5,120.3,118.275,-0.358,       ,4.57,53,18.1,176.4,-2.5,0,  NONE,   NONE,      ,      ,-35.4, 3DDiff,3704,      ,34,94,72
2024/5/26, 10:33:43,  +08:00,   GHN1,31.2536488,104.2893143,3299.5,29.71,3420.8,21.8,104.27,114.06,-119.5,3.14,-18.22,0,0.06,172.7,176.5,27.7,28.8,0,13.5,13.2,13.27,191.61,71.43,22.19,2534.4,0.65,321.62,319.92,345.54,325.68,        ,        ,1313.79,1313.83,1287.69,1321.27,        ,830.31,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3289.5,113, NAV2,352,109.9,113.5,120.3,118.275,-0.361,       ,4.56,53.5,18.1,176.4,-2.5,0,  NONE,   NONE,      ,      ,7.9, 3DDiff,3704,      ,34,94.5,72
2024/5/26, 10:33:44,  +08:00,   GHN1,31.25313,104.2894058,3301.5,29.71,3419.5,21.8,104.12,113.75,-54.99,4.13,-25.38,0.03,0.29,168.4,173.4,27.7,28.8,0,13.45,13.23,13.27,191.57,71.53,22.19,2532.4,0.65,321.63,319.93,345.57,325.7,        ,        ,1313.25,1312.89,1287.13,1322.21,        ,830.31,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3288.2,113, NAV2,352,109.9,113.5,120.3,118.275,-0.364,       ,4.58,54.2,18.1,176.4,-2.5,0,  NONE,   NONE,      ,      ,102.4, 3DDiff,3704,      ,36,115.5,84
2024/5/26, 10:33:45,  +08:00,   GHN1,31.2526207,104.2895584,3306.5,29.71,3428.3,22,103.74,113.33,100.04,3.99,-29.14,-0.04,0.14,160.8,168.7,27.7,28.8,0,13.41,13.27,13.24,191.53,71.52,22.19,2524.5,0.64,321.64,319.95,345.58,325.71,        ,        ,1313.33,1311.98,1286.89,1322.56,        ,830.34,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3297,112, NAV2,352,109.9,113.5,120.3,118.275,-0.374,       ,4.63,55.2,18,176.4,-2.5,0,  NONE,   NONE,      ,      ,263.8, 3DDiff,3704,      ,36,115,82
2024/5/26, 10:33:46,  +08:00,   GHN1,31.2521248,104.2897644,3301.5,29.71,3433.5,22,102.27,112.39,42.4,3.99,-36.1,-0.02,0.33,154,162.9,27.7,28.8,0,13.41,13.25,13.27,191.49,71.65,22.18,2535.9,0.65,321.67,319.96,345.61,325.71,        ,        ,1313.69,1311.27,1286.46,1322.41,        ,830.34,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3302.2,111, NAV2,352,109.9,113.5,120.3,118.275,-0.38,       ,4.74,56.2,18,176.5,-2.5,0,  NONE,   NONE,      ,      ,291.3, 3DDiff,3704,      ,36,115,82
2024/5/26, 10:33:47,  +08:00,   GHN1,31.251667,104.2900391,3305.5,29.71,3439.7,22,102.08,111.5,64.65,3.82,-43.64,-0.01,0.29,146.9,155.2,27.7,28.8,0,13.43,13.23,13.18,191.46,71.62,22.16,2530.6,0.65,321.68,319.97,345.63,325.71,        ,        ,1313.06,1311.02,1286.41,1322.05,        ,830.37,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3308.4,110, NAV2,352,109.9,113.5,120.3,118.275,-0.376,       ,4.93,57.3,18,176.5,-2.5,0,  NONE,   NONE,      ,      ,366.1, 3DDiff,3704,      ,36,115,82
2024/5/26, 10:33:48,  +08:00,   GHN1,31.2512512,104.29039,3310.5,29.71,3443.5,22,100.23,110.9,178.4,3.58,-48.25,-0.01,0.33,137.9,146.6,27.7,28.8,0,13.47,13.21,13.42,191.39,71.61,22.95,2530.5,0.67,321.69,320,345.64,325.73,        ,        ,1313,1312.23,1285.59,1321.76,        ,830.41,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3312.2,108, NAV2,352,109.9,113.5,120.3,118.275,-0.38,       ,5.2,58.2,18,176.6,-2.5,0,  NONE,   NONE,      ,      ,220.5, 3DDiff,3704,      ,36,115.5,82
