#airframe_info," log_version=""1.03"""," log_content_version=""1.02"""," Product=""GIFD"""," airframe_name=""Cirrus SR20"""," unit_software_part_number=""006-B1177-C2"""," unit_software_version=""21.70"""," system_software_part_number=""006-B2647-N9"""," system_id=""25F7F0515""", mode=NORMAL," flightstream_header=""25F7F0515_2149""", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2024/5/24, 11:21:29,  +08:00,   GHN2,31.1821194,104.383728,3113.9,29.74,3238.3,25.5,100.57,115.58,-533.6,-2.36,-2.89,-0.01,-0.13,97.2,94.3,27.7,28.8,0.4,24.3,22.93,5.92,201.67,68.28,12.32,2471.9,0.22,326.35,319.92,344.55,338.46,        ,        ,1354.26,1334.33,1361.59,1369.02,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3105.3,109, NAV1,127,109.9,113.5,120.3,118.275,-1.478,0.591,7.59,-119.2,14,-165.3,-2.5,0,  NONE,   NONE,      ,      ,-964.6, 3DDiff,3704,      ,45,52.5,54
2024/5/24, 11:21:30,  +08:00,   GHN2,31.182106,104.384346,3092.9,29.74,3220.1,25.5,100.57,116.01,-802.46,-0.9,-0.49,0.04,0.21,97.6,93.9,27.7,28.8,0.4,24.39,22.99,5.93,201.64,68.26,12.29,2476.8,0.22,326.22,319.8,344.43,338.33,        ,        ,1353.19,1333.58,1362.25,1369.89,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3087.1,109, NAV1,127,109.9,113.5,120.3,118.275,       ,       ,7.63,-119.9,14,-165.2,-2.5,0,  NONE,   NONE,      ,      ,-1102.4, 3DDiff,3704,      ,45,52,54
2024/5/24, 11:21:31,  +08:00,   GHN2,31.1820946,104.3849792,3080.9,29.74,3205.4,25.5,102.24,116.59,-894.89,-0.65,-0.3,0.02,0.02,98.4,93.9,27.7,28.8,0.4,24.35,22.96,5.95,201.62,68.5,12.25,2484.4,0.22,326.1,319.67,344.31,338.19,        ,        ,1354.62,1332.49,1362.11,1369.57,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3072.4,111, NAV1,127,109.9,113.5,120.3,118.275,       ,       ,7.69,-120.7,14,-165.1,-2.5,0,  NONE,   NONE,      ,      ,-905.5, 3DDiff,3704,      ,45,52,54
2024/5/24, 11:21:32,  +08:00,   GHN2,31.1820774,104.3856125,3069.9,29.74,3194.2,25.5,102.63,116.94,-859.43,-1.1,-0.63,0.03,-0.08,99.2,94,27.7,28.8,0.4,24.4,22.95,5.94,201.59,68.53,12.24,2487.9,0.22,325.97,319.53,344.19,338.03,        ,        ,1354.62,1332.47,1361.39,1369.91,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3061.2,111, NAV1,127,109.9,113.5,120.3,118.275,       ,       ,7.76,-121.6,14.1,-164.9,-2.5,0,  NONE,   NONE,      ,      ,-700.8, 3DDiff,3704,      ,45,52,54
2024/5/24, 11:21:33,  +08:00,   GHN2,31.1820641,104.3862381,3058.9,29.74,3182.9,25.5,100.94,116.98,-754.91,1.03,-0.51,0.01,0.19,98.8,94.2,27.7,28.8,0.4,24.43,22.86,5.95,201.62,68.59,12.26,2487.2,0.22,325.84,319.38,344.06,337.89,        ,        ,1354.98,1332.85,1360.73,1369.49,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3049.9,109, NAV1,127,109.9,113.5,120.3,118.275,       ,       ,7.85,-122.6,14.1,-164.8,-2.5,0,  NONE,   NONE,      ,      ,-685, 3DDiff,3704,      ,45,52.5,54
2024/5/24, 11:21:34,  +08:00,   GHN2,31.1820469,104.3868713,3048.9,29.74,3175.3,25.8,100.9,117.17,-707.71,-0.49,-3.92,0.02,-0.16,99.6,94.2,27.7,28.8,0.4,24.5,22.8,5.96,201.66,68.49,12.36,2467.8,0.22,325.7,319.24,343.94,337.74,        ,        ,1353.91,1331.71,1360.1,1368.58,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3042.3,109, NAV1,127,109.9,113.5,120.3,118.275,       ,       ,7.95,-123.6,14.1,-164.7,-2.5,0,  NONE,   NONE,      ,      ,-448.8, 3DDiff,3704,      ,45,52,54
2024/5/24, 11:21:35,  +08:00,   GHN2,31.1820297,104.3875046,3041.9,29.74,3165.9,25.8,102.13,116.96,-587.74,0.93,-4.92,-0.02,-0.07,96.8,94,27.7,28.8,0.4,24.48,22.61,5.91,201.66,68.42,12.28,2481.2,0.22,325.58,319.1,343.8,337.6,        ,        ,1353.35,1331.26,1360.42,1368,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3032.9,111, NAV1,127,109.9,113.5,120.3,118.275,       ,       ,8.07,-124.7,14.1,-164.6,-2.5,0,  NONE,   NONE,      ,      ,-527.6, 3DDiff,3704,      ,45,52.5,54
2024/5/24, 11:21:36,  +08:00,   GHN2,31.1820278,104.3881302,3024.9,29.74,3155.7,25.8,98.85,116.75,-632.4,1.45,-8.39,0.02,0.05,93.9,93,27.7,28.8,0.4,24.55,22.53,5.91,201.64,68.47,12.34,2473.2,0.22,325.43,318.95,343.68,337.43,        ,        ,1354.42,1331.48,1361.3,1368.63,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3022.7,107, NAV1,127,109.9,113.5,120.3,118.275,       ,       ,8.19,-125.6,14.1,-164.4,-2.5,0,  NONE,   NONE,      ,      ,-582.7, 3DDiff,3704,      ,45,52,54
2024/5/24, 11:21:37,  +08:00,   GHN2,31.1820335,104.3887634,3014.9,29.74,3146.9,25.8,99.27,116.57,-677.5,0.58,-3.94,-0.01,-0.03,93.2,91.8,27.7,28.8,0.4,24.45,22.69,5.9,201.62,68.47,12.35,2469.6,0.22,325.29,318.79,343.52,337.27,        ,        ,1354.45,1332.14,1361.48,1368.94,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3013.9,107, NAV1,127,109.9,113.5,120.3,118.275,       ,       ,8.3,-126.1,14.1,-164.3,-2.5,0,  NONE,   NONE,      ,      ,-523.6, 3DDiff,3704,      ,45,52,54
2024/5/24, 11:21:38,  +08:00,   GHN2,31.1820469,104.389389,3005.9,29.74,3138.4,25.8,98.89,116.3,-623.56,1.91,-1.79,0,0.09,93,91.1,27.7,28.8,0.4,24.27,22.9,5.95,201.62,68.43,12.57,2470.7,0.22,325.14,318.65,343.4,337.11,        ,        ,1352.65,1333.13,1361.65,1369.53,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3005.4,107, NAV1,127,109.9,113.5,120.3,118.275,       ,       ,8.4,-126.3,14.1,-164.2,-2.5,0,  NONE,   NONE,      ,      ,-507.9, 3DDiff,3704,      ,45,52,54
