#airframe_info," log_version=""1.03"""," log_content_version=""1.02"""," Product=""GIFD"""," airframe_name=""Cirrus SR20"""," unit_software_part_number=""006-B1177-C2"""," unit_software_version=""21.70"""," system_software_part_number=""006-B2647-N9"""," system_id=""25E7EBA0C""", mode=NORMAL," flightstream_header=""25E7EBA0C_2700""", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2024/5/24, 16:15:29,  +08:00,   GHN1,31.2099495,104.270546,5890.5,29.65,6225.4,20.8,95.47,101.72,-51.33,3.09,-18.72,0.01,0.07,194.1,199.3,27.7,28.8,0,20.25,16.71,11.05,196.63,71,18.23,2530,0.5,331.76,328.04,351.69,336.99,        ,        ,1276.33,1265.42,1254.51,1301.24,478.17,1496.33,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,6093.5,107, NAV1,127,109.9,113.5,120.3,118.275,1.042,0.453,10.89,162.6,15.7,171.9,-2.5,0,  NONE,   NONE,      ,      ,-90.6,     3D,3704,      ,       ,162.5,       
2024/5/24, 16:15:30,  +08:00,   GHN1,31.2094917,104.2704239,5890.5,29.65,6225,20.8,95.93,101.29,-57.14,3.16,-16.6,0.01,0.11,190.6,195.7,27.7,28.8,0,20.25,16.72,11.09,196.63,71.03,18.24,2529.6,0.5,331.63,327.88,351.55,336.87,        ,        ,1275.92,1266.13,1254.45,1300.77,477.82,1496.24,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,6093.1,108, NAV1,127,109.9,113.5,120.3,118.275,0.968,0.429,10.92,160.6,15.6,171.8,-2.5,0,  NONE,   NONE,      ,      ,-94.5,     3D,3704,      ,       ,162.5,       
2024/5/24, 16:15:31,  +08:00,   GHN1,31.2090302,104.2703247,5888.5,29.65,6225.1,20.8,95.2,101,-52.79,2.87,-15.63,0,0.02,187.8,192.2,27.7,28.8,0,20.22,16.74,11.05,196.67,71.01,18.19,2523.3,0.5,331.51,327.74,351.43,336.77,        ,        ,1276.42,1266.5,1254.22,1300.52,477.53,1496.17,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,6093.2,107, NAV1,127,109.9,113.5,120.3,118.275,0.948,0.468,10.97,158.7,15.6,171.8,-2.5,0,  NONE,   NONE,      ,      ,-7.9,     3D,3704,      ,       ,162.5,       
2024/5/24, 16:15:32,  +08:00,   GHN1,31.2085648,104.2702637,5888.5,29.65,6225.9,20.8,94.05,100.71,-64.39,4.34,-17.06,0.02,0.13,185.9,189.1,27.7,28.8,0,20.16,16.81,10.97,196.72,70.87,18.16,2515.3,0.5,331.35,327.59,351.33,336.66,        ,        ,1276.56,1265.84,1254.71,1300.6,477.25,1496.1,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,6094,106, NAV1,127,109.9,113.5,120.3,118.275,0.816,0.435,11.01,156.8,15.6,171.8,-2.5,0,  NONE,   NONE,      ,      ,31.5,     3D,3704,      ,       ,162,       
2024/5/24, 16:15:33,  +08:00,   GHN1,31.2081013,104.2702255,5895.5,29.65,6229,20.8,94.46,100.32,103.55,3.88,-16.66,0.01,0.04,181.9,185.8,27.7,28.8,0,20.14,16.75,10.98,196.74,70.83,18.13,2518.1,0.5,331.24,327.46,351.21,336.58,        ,        ,1276.6,1265.21,1254.15,1299.65,476.96,1496.03,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,6097.1,106, NAV1,127,109.9,113.5,120.3,118.275,1.048,0.415,11.04,154.9,15.6,171.7,-2.5,0,  NONE,   NONE,      ,      ,153.5,     3D,3704,      ,       ,162,       
2024/5/24, 16:15:34,  +08:00,   GHN1,31.2076397,104.2702332,5891.5,29.65,6232.7,20.8,93.39,99.86,82.14,3.15,-15.9,-0.01,0.01,177.9,182.2,27.7,28.8,0,20.12,16.78,10.94,196.73,70.96,18.09,2524.8,0.49,331.1,327.31,351.09,336.46,        ,        ,1276.9,1264.73,1253.81,1299.57,476.63,1495.93,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,6100.8,105, NAV1,127,109.9,113.5,120.3,118.275,1.071,0.401,11.05,153.2,15.5,171.7,-2.5,0,  NONE,   NONE,      ,      ,204.7,     3D,3704,      ,       ,162,       
2024/5/24, 16:15:35,  +08:00,   GHN1,31.20718,104.2702637,5890.5,29.65,6235.3,20.8,93.41,99.51,-1.01,3.74,-13.47,0,0.02,175.9,179.1,27.7,28.8,0,19.98,16.91,10.9,196.73,71.02,18.08,2528.2,0.5,330.96,327.17,350.97,336.36,        ,        ,1276.54,1264.96,1253.83,1299.35,476.36,1495.8,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,6103.4,105, NAV1,127,109.9,113.5,120.3,118.275,1.093,0.348,11.04,151.5,15.5,171.7,-2.5,0,  NONE,   NONE,      ,      ,173.2,     3D,3704,      ,       ,162,       
2024/5/24, 16:15:36,  +08:00,   GHN1,31.2067223,104.2703171,5894.5,29.65,6236.5,20.8,93.21,99.21,53.7,3.05,-10.09,0,-0.05,173.9,176.4,27.7,28.8,0,19.87,16.91,10.9,196.69,70.98,18.06,2525.3,0.49,330.82,327.02,350.84,336.26,        ,        ,1276.33,1264.63,1253.63,1299.14,476.03,1495.75,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,6104.6,105, NAV1,127,109.9,113.5,120.3,118.275,1.116,0.374,11.02,149.8,15.5,171.7,-2.5,0,  NONE,   NONE,      ,      ,129.9,     3D,3704,      ,       ,162,       
2024/5/24, 16:15:37,  +08:00,   GHN1,31.2062664,104.270401,5895.5,29.65,6237.8,20.8,92.91,99,98.86,2.47,-8.69,0,-0.1,172.5,174.4,27.7,28.8,0,19.77,16.99,10.9,196.68,70.98,18.09,2521.3,0.49,330.69,326.89,350.73,336.14,        ,        ,1276.6,1263.95,1253.2,1298.79,475.7,1495.63,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,6105.9,104, NAV1,127,109.9,113.5,120.3,118.275,0.987,0.387,10.97,148.2,15.4,171.7,-2.5,0,  NONE,   NONE,      ,      ,15.7,     3D,3704,      ,       ,162,       
2024/5/24, 16:15:38,  +08:00,   GHN1,31.2058125,104.2704849,5895.5,29.65,6236,20.8,93.05,98.94,69.79,2.16,-9.84,0,-0.01,171.7,172.7,27.7,28.8,0,19.63,17.07,10.89,196.67,70.99,18.03,2522.9,0.49,330.57,326.76,350.64,336.05,        ,        ,1275.98,1263.28,1253.59,1297.97,475.46,1495.58,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,6104.1,104, NAV1,127,109.9,113.5,120.3,118.275,1.058,0.389,10.91,146.7,15.4,171.7,-2.5,0,  NONE,   NONE,      ,      ,-90.6,     3D,3704,      ,       ,162,       
