#airframe_info, log_version="1.01", airframe_name="Cessna 172S", unit_software_part_number="006-B1177-69", unit_software_version="20.83", system_software_part_number="006-B2501-10", system_id="25BA2E6F4", mode=NORMAL, flightstream_header="25BA2E6F4_20000101_000000", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2023/4/24, 11:17:27,  +08:00,       ,30.470892,105.611618,955.2,30.21,952,13,70.77,71.98,639.64,8.43,-0.66,0.02,-0.12,125.1,127.6,28.1,28.1,0.3,0,22.02,24,15.23,149.99,77.53,2439.9,244.26,240.42,242.32,262.36,1205.69,1194.71,1175.58,1168.43,815.1,71, NAV1,125,111.6,111.6,129.75,128.5,3.912,       ,1.3,-56.8,       ,       ,-2.7,       ,      ,       ,      ,      ,456.7, 3DDiff,3704,      ,59,74,80
2023/4/24, 11:17:28,  +08:00,       ,30.4706993,105.6119385,961.2,30.21,959.1,13,71.24,72.87,562.35,9.31,-0.04,0,0.07,124.5,127.6,28.1,28.1,0.3,0,22.26,24,15.22,150.02,76.99,2438.8,244.25,240.6,242.39,262.43,1215.41,1207.96,1185.54,1180.7,822.2,72, NAV1,125,111.6,111.6,129.75,128.5,4.238,       ,1.26,-51.9,       ,       ,-2.7,       ,      ,       ,      ,      ,425.2, 3DDiff,3704,      ,59,74,81
2023/4/24, 11:17:29,  +08:00,       ,30.4705048,105.6122589,971.2,30.21,970.1,13,72.76,73.63,527.36,8.79,0.86,-0.02,-0.23,124.1,127.5,28.1,28.1,0.3,0,22.36,24,15.15,150.04,77.67,2442.8,244.32,240.84,242.49,262.53,1224.73,1218.99,1192.96,1190.99,833.2,73, NAV1,125,111.6,111.6,129.75,128.5,4.636,       ,1.24,-45.8,       ,       ,-2.7,       ,      ,       ,      ,      ,566.9, 3DDiff,3704,      ,59,74,80
2023/4/24, 11:17:30,  +08:00,       ,30.4703102,105.612587,982.2,30.21,979.3,13,73.45,74.25,580.25,9.28,2.25,0.02,0.01,125.6,127.5,28.1,28.1,0.3,0,22.24,24,15.43,150.07,77.12,2442.7,244.41,241.13,242.63,262.69,1232.59,1227.89,1199.85,1200.42,842.4,74, NAV1,125,111.6,111.6,129.75,128.5,5.125,       ,1.23,-38.8,       ,       ,-2.7,       ,      ,       ,      ,      ,543.3, 3DDiff,3704,      ,59,74,80
2023/4/24, 11:17:31,  +08:00,       ,30.4701138,105.612915,986.2,30.21,988,13,73.01,74.82,490.29,9.17,1.27,0.03,0.02,126.8,127.9,28.1,28.1,0.3,0,22.21,24,15.18,150.1,76.88,2436.3,244.57,241.47,242.84,262.9,1240.05,1235.71,1205.43,1209.11,851.1,74, NAV1,125,111.6,111.6,129.75,128.5,5.647,       ,1.24,-31.5,       ,       ,-2.7,       ,      ,       ,      ,      ,570.9, 3DDiff,3704,      ,59,74,80
2023/4/24, 11:17:32,  +08:00,       ,30.4699078,105.6132431,993.2,30.21,998.1,13,73.65,75.4,425.97,9.14,-0.21,0.04,-0.06,126.3,128.5,28.1,28.1,0.3,0,22.21,24,15.26,150.11,76.73,2441.2,244.77,241.87,243.1,263.16,1245.48,1242.14,1211.48,1217.06,861.2,74, NAV1,125,111.6,111.6,129.75,128.5,6.217,       ,1.27,-24.8,       ,       ,-2.7,       ,      ,       ,      ,      ,610.2, 3DDiff,3704,      ,59,74,80
2023/4/24, 11:17:33,  +08:00,       ,30.4696999,105.6135712,1007.2,30.21,1008.4,13,73.56,75.98,528.15,8.57,-1.09,0.01,-0.09,125.2,128.7,28.1,28.1,0.3,0,22.19,24,15.29,150.13,76.97,2447.7,245.02,242.29,243.41,263.46,1251.3,1248.63,1216.16,1223.46,871.5,74, NAV1,125,111.6,111.6,129.75,128.5,6.838,       ,1.32,-18.5,       ,       ,-2.7,       ,      ,       ,      ,      ,618.1, 3DDiff,3704,      ,59,74,80
2023/4/24, 11:17:34,  +08:00,       ,30.4694939,105.6139069,1022.2,30.21,1018.7,13,75.35,76.61,682.6,8.6,0.26,-0.02,-0.09,124.3,128.2,28.1,28.1,0.3,0,22.17,24,15.26,150.15,76.64,2454.9,245.32,242.77,243.77,263.8,1256.58,1253.68,1220.27,1229.63,881.8,76, NAV1,125,111.6,111.6,129.75,128.5,7.53,       ,1.4,-12.5,       ,       ,-2.7,       ,      ,       ,      ,      ,618.1, 3DDiff,3704,      ,59,74,81
2023/4/24, 11:17:35,  +08:00,       ,30.4692822,105.6142426,1031.2,30.21,1027.2,13,74.65,77.17,703.31,8.49,0.75,0.03,-0.09,125.1,128.1,28.1,28.1,0.3,0,22.07,24,15.33,150.16,76.83,2455.5,245.66,243.29,244.16,264.16,1261.23,1257.97,1224.35,1235.03,890.3,75, NAV1,125,111.6,111.6,129.75,128.5,8.269,       ,1.51,-6.9,       ,       ,-2.7,       ,      ,       ,      ,      ,590.6, 3DDiff,3704,      ,59,74,80
2023/4/24, 11:17:36,  +08:00,       ,30.4690704,105.6145782,1038.2,30.21,1035.8,13,75.95,77.81,594.79,8.68,-0.43,-0.02,-0.09,124.8,128.4,28.1,28.1,0.3,0,22.02,24,15.1,150.17,77.1,2454.3,246.04,243.84,244.59,264.58,1265.26,1261.37,1227.75,1239.56,898.9,77, NAV1,125,111.6,111.6,129.75,128.5,8.934,       ,1.64,-2,       ,       ,-2.7,       ,      ,       ,      ,      ,531.5, 3DDiff,3704,      ,59,74.5,81
