#airframe_info, log_version="1.00", airframe_name="Cessna 172R", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0563-26", system_id="2D87A31FD", mode=NORMAL, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2023/4/26, 16:18:32,  +08:00,  SNVOR,30.4719639,105.6099472,943.1,29.83,930.5,27,70.16,63.51,303.13,9.21,3.9,-0.06,-0.12,125.3,123.1,28,28,0.6,0.1,16.15,22.42,15.16,194.55,72.44,2437.6,326.98,345.85,343.92,379.36,1241.81,1262.03,1222.67,1247.58,793.6,73, NAV1,125,111.6,111.6,129.75,128.5,2.815,       ,7.46,121.6,0.3,158.8,-2.7,       ,      ,       ,      ,      ,570.9,     3D,3704,      ,       ,121.5,       
2023/4/26, 16:18:33,  +08:00,  SNVOR,30.4718132,105.6102448,954.1,29.83,938.7,27,68.5,64.17,527.27,8.32,0.42,0.01,-0.04,126.1,123,28,28,0.6,0.1,16.15,22.42,15.2,194.34,72.56,2443.2,327.74,346.46,344.75,380,1244.32,1264.84,1224.7,1249.96,801.8,71, NAV1,125,111.6,111.6,129.75,128.5,2.95,       ,7.22,122,0.3,161,-2.7,       ,      ,       ,      ,      ,500,     3D,3704,      ,       ,121.5,       
2023/4/26, 16:18:34,  +08:00,  SNVOR,30.4716606,105.6105423,960.1,29.83,946.2,27,69.66,65.04,499.59,9.03,-0.08,-0.02,0.06,124.8,122.8,28,27.9,0.5,0.1,16.33,22.19,15.24,194.17,73.15,2441,328.42,347.06,345.6,380.57,1247.17,1267.46,1225.94,1252.29,809.3,72, NAV1,125,111.6,111.6,129.75,128.5,3.099,       ,7.01,122.6,0.3,163.4,-2.7,       ,      ,       ,      ,      ,452.8,     3D,3704,      ,       ,121.5,       
2023/4/26, 16:18:35,  +08:00,  SNVOR,30.4715099,105.6108551,968.1,29.83,956.3,27,72.17,65.66,492.96,9.56,1.81,-0.04,0.17,123.2,122.1,28,27.9,0.5,0,16.47,22.05,15.2,193.99,72.49,2454.4,329.25,347.69,346.44,381.26,1249.66,1270.38,1227.3,1253.91,819.4,75, NAV1,125,111.6,111.6,129.75,128.5,3.288,       ,6.85,123.3,0.3,166.2,-2.7,       ,      ,       ,      ,      ,574.8,     3D,3704,      ,       ,121.5,       
2023/4/26, 16:18:36,  +08:00,  SNVOR,30.4713593,105.6111603,978.1,29.83,969.3,27,76.44,65.53,496.13,10.57,0.83,-0.01,-0.02,123.1,122.3,28,28,0.6,0.1,16.97,21.61,15.09,193.83,72.8,2463.3,330.05,348.33,347.3,381.91,1251.57,1272.62,1229.03,1255.32,832.5,80, NAV1,125,111.6,111.6,129.75,128.5,3.579,       ,6.73,124,0.2,169.2,-2.7,       ,      ,       ,      ,      ,795.3,     3D,3704,      ,       ,121.5,       
2023/4/26, 16:18:37,  +08:00,  SNVOR,30.4712086,105.6114578,988.1,29.83,982.8,27,73.64,65.33,530.74,9.98,2.15,0,-0.01,121.7,122.7,28,28,0.6,0.1,17.26,21.39,14.99,193.69,72.41,2464.8,330.82,348.95,348.07,382.56,1253.96,1274.99,1230.85,1257.28,845.9,77, NAV1,125,111.6,111.6,129.75,128.5,3.82,       ,6.67,124.6,0.2,172.6,-2.7,       ,      ,       ,      ,      ,807.1,     3D,3704,      ,       ,121.5,       
2023/4/26, 16:18:38,  +08:00,  SNVOR,30.471056,105.611763,1005.1,29.83,996.9,27,73.94,65.29,679.68,9.03,0.35,-0.07,-0.06,119.4,122.8,27.9,27.9,0.6,0.1,17.34,21.35,15.26,193.59,72.36,2466.8,331.62,349.58,348.93,383.21,1255.69,1276.88,1232.42,1259.03,860,77, NAV1,125,111.6,111.6,129.75,128.5,4.13,       ,6.66,125,0.2,176.2,-2.7,       ,      ,       ,      ,      ,846.5,     3D,3704,      ,       ,121.5,       
2023/4/26, 16:18:39,  +08:00,  SNVOR,30.4709053,105.6120682,1020.1,29.83,1010,27,72.95,65.59,826.58,9.17,3.71,-0.03,-0.22,120.6,122.4,28,28,0.6,0.1,17.34,21.35,15.31,193.4,72.47,2459.3,332.35,350.14,349.79,383.79,1257.29,1278.7,1233.43,1260.7,873.1,76, NAV1,125,111.6,111.6,129.75,128.5,4.48,       ,6.69,125,0.2,-179.6,-2.7,       ,      ,       ,      ,      ,787.4,     3D,3704,      ,       ,121.5,       
2023/4/26, 16:18:40,  +08:00,  SNVOR,30.4707546,105.6123734,1031.1,29.83,1020.3,27,74.82,65.8,811.06,9.62,2.92,0.01,0.02,122.8,122.5,28,28,0.6,0.1,17.44,21.15,15.15,193.23,72.54,2460.2,333.24,350.82,350.66,384.52,1258.52,1280.68,1234.92,1261.49,883.4,78, NAV1,125,111.6,111.6,129.75,128.5,4.833,       ,6.74,124.8,0.2,-175.1,-2.7,       ,      ,       ,      ,      ,629.9,     3D,3704,      ,       ,121.5,       
2023/4/26, 16:18:41,  +08:00,  SNVOR,30.470602,105.6126862,1034.1,29.83,1030.8,27,71.31,66.05,617.73,8.46,0.44,0.01,0.03,123.5,123,28,28,0.6,0.1,17.5,21.03,15.04,193.05,72.27,2452.8,334.05,351.46,351.54,385.17,1260.6,1282.62,1236.24,1262.4,893.9,74, NAV1,125,111.6,111.6,129.75,128.5,5.304,       ,6.82,124.5,0.2,-170.1,-2.7,       ,      ,       ,      ,      ,614.2,     3D,3704,      ,       ,121.5,       
