#airframe_info, log_version="1.00", airframe_name="Cessna 172R", unit_software_part_number="006-B0319-BD", unit_software_version="13.11", system_software_part_number="006-B0563-35", system_id="27D9FE27E", mode=NORMAL, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2023/4/20, 17:51:11,  +08:00,  SNVOR,30.4712124,105.6110916,927.9,29.56,919.9,24,66.35,69.32,49.64,8.2,-0.32,-0.02,-0.01,307.8,304.1,28.1,28.1,0.6,0,19.88,22.55,14.73,184.45,78.59,2430.6,300.34,322.8,310.15,329.07,1262.51,1274.04,1259.81,1260.37,783.1,69, NAV1,305,111.6,111.6,129.75,128.5,-4.749,       ,1.18,-112.4,0.2,167.9,-2.7,       ,      ,       ,      ,      ,275.6,     3D,3704,      ,       ,133,       
2023/4/20, 17:51:12,  +08:00,  SNVOR,30.471384,105.6107712,931.9,29.56,925.9,24,65.87,70.46,151.93,9.1,0.01,-0.01,0.04,307.8,304.1,28.1,28.1,0.6,0,20.06,22.55,14.77,184.43,78.41,2442.4,301.02,323.4,310.77,329.6,1265.5,1277.12,1262.82,1262.48,789.1,68, NAV1,305,111.6,111.6,129.75,128.5,-4.403,       ,1.08,-116.6,0.2,164.7,-2.7,       ,      ,       ,      ,      ,330.7,     3D,3704,      ,       ,133,       
2023/4/20, 17:51:13,  +08:00,  SNVOR,30.4715576,105.6104431,938.9,29.56,934.2,24,67.24,71.32,229.94,9.34,0.18,-0.07,-0.02,306.2,304.2,28,28,0.5,0,20.3,22.4,14.79,184.41,78.41,2436.7,301.69,323.98,311.36,330.19,1267.86,1280.4,1266.06,1265.37,797.4,70, NAV1,305,111.6,111.6,129.75,128.5,-4.099,       ,0.96,-120.5,0.3,161.8,-2.7,       ,      ,       ,      ,      ,460.6,     3D,3704,      ,       ,133,       
2023/4/20, 17:51:14,  +08:00,  SNVOR,30.4717312,105.6101151,950.9,29.56,943.3,24,68.98,71.84,426.34,9.91,-0.22,-0.05,0.07,304.7,304.1,28.1,28.1,0.6,0,20.3,22.15,14.69,184.39,78.34,2433.2,302.39,324.57,311.94,330.73,1270.16,1282.52,1268,1267.27,806.4,72, NAV1,305,111.6,111.6,129.75,128.5,-3.817,       ,0.81,-124.9,0.3,159.3,-2.7,       ,      ,       ,      ,      ,519.7,     3D,3704,      ,       ,133,       
2023/4/20, 17:51:15,  +08:00,  SNVOR,30.4719028,105.609787,962.9,29.56,954.2,24,69.65,72.17,562.81,10.35,0.35,-0.05,0.03,304.2,303.6,28.1,28.1,0.6,0,20.3,22.11,14.63,184.37,78.05,2450,303.08,325.17,312.53,331.22,1272.91,1284.28,1270.21,1269.46,817.4,72, NAV1,305,111.6,111.6,129.75,128.5,-3.547,       ,0.67,-130.2,0.3,157,-2.7,       ,      ,       ,      ,      ,629.9,     3D,3704,      ,       ,133,       
2023/4/20, 17:51:16,  +08:00,  SNVOR,30.4720726,105.6094513,976.9,29.56,963.7,24,70.53,72.39,670.09,10.05,1.88,-0.05,-0.01,304.6,303.4,28.1,28.1,0.6,0,20.3,21.96,14.77,184.33,77.93,2455.8,303.79,325.76,313.11,331.76,1273.83,1286.14,1271.96,1271.61,826.9,73, NAV1,305,111.6,111.6,129.75,128.5,-3.326,       ,0.54,-136.7,0.3,154.9,-2.7,       ,      ,       ,      ,      ,633.9,     3D,3704,      ,       ,133,       
2023/4/20, 17:51:17,  +08:00,  SNVOR,30.4722443,105.609108,983.9,29.56,972.7,24,70.13,72.54,648.49,9.94,1.29,-0.05,-0.02,306.6,303.3,28,28,0.5,0,20.38,21.76,14.65,184.3,78.2,2452.6,304.49,326.35,313.71,332.37,1275.28,1287.61,1273.58,1272.66,835.9,73, NAV1,305,111.6,111.6,129.75,128.5,-3.114,       ,0.42,-144.7,0.3,153,-2.7,       ,      ,       ,      ,      ,637.8,     3D,3704,      ,       ,133,       
2023/4/20, 17:51:18,  +08:00,  SNVOR,30.4724178,105.6087723,992.9,29.56,983.6,24,70.76,72.76,574.13,9.61,3.03,-0.02,-0.08,307.9,303.6,28.1,28.1,0.6,0,20.35,21.66,14.76,184.26,78.29,2456,305.22,326.96,314.29,332.92,1277.01,1289.41,1275.04,1273.22,846.8,74, NAV1,305,111.6,111.6,129.75,128.5,-2.917,       ,0.31,-155,0.3,151.4,-2.7,       ,      ,       ,      ,      ,657.5,     3D,3704,      ,       ,133,       
2023/4/20, 17:51:19,  +08:00,  SNVOR,30.4725952,105.6084442,1000.9,29.56,994.2,24,70.76,72.91,543.3,9.61,1.04,0.02,0,310.1,304.2,28.1,28.1,0.6,0,20.35,21.66,14.61,184.22,78.16,2467.9,305.93,327.54,314.9,333.49,1278.1,1291.3,1275.95,1274.89,857.4,74, NAV1,305,111.6,111.6,129.75,128.5,-2.734,       ,0.19,-174.3,0.4,150,-2.7,       ,      ,       ,      ,      ,645.7,     3D,3704,      ,       ,133,       
2023/4/20, 17:51:20,  +08:00,  SNVOR,30.4727764,105.6081161,1005.9,29.56,1005,23.8,70.06,73.11,455.46,9.27,1.57,0.05,-0.1,311.4,304.8,28.1,28.1,0.6,0,20.2,21.66,14.91,184.17,78.29,2451.3,306.65,328.14,315.49,334.05,1278.92,1291.62,1278.56,1276.01,868.2,73, NAV1,305,111.6,111.6,129.75,128.5,-2.56,       ,0.12,123.8,0.4,148.6,-2.7,       ,      ,       ,      ,      ,653.5,     3D,3704,      ,       ,133,       
