#airframe_info," log_version=""1.03"""," log_content_version=""1.02"""," Product=""GIFD"""," airframe_name=""Cirrus SR20"""," unit_software_part_number=""006-B1177-C2"""," unit_software_version=""21.70"""," system_software_part_number=""006-B2647-N9"""," system_id=""25E7EBA0C""", mode=NORMAL," flightstream_header=""25E7EBA0C_2704""", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2024/5/25, 08:07:37,  +08:00,   GHN0,30.9485531,104.3295135,1544.5,29.65,1567.9,29,78.93,85.06,393.31,6.59,1.98,0.01,0.16,126.8,128.7,27.8,28.8,0.6,28,24.8,18.88,194.06,77,27.97,2634.2,0.89,337.76,345.24,345.43,334.36,        ,        ,1298.34,1324.9,1273.06,1294.5,458.08,601.19,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1432.2,82, NAV1,127,109.9,113.5,124.3,118.275,-0.033,-1.882,2.05,-16.5,0.3,-30.1,-2.5,0,  NONE,   NONE,      ,      ,421.3, 3DDiff,3704,      ,38,54.5,45
2024/5/25, 08:07:38,  +08:00,   GHN0,30.9483147,104.3298874,1552.5,29.65,1578.2,29,78.39,85.2,414.85,6.75,-0.8,0.03,-0.04,126.8,129.4,27.8,28.8,0.6,28,24.83,19.02,193.93,76.9,27.97,2625.9,0.89,338,345.43,345.63,334.51,        ,        ,1298.68,1324.98,1272.34,1294.33,457.47,601.45,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1442.6,82, NAV1,127,109.9,113.5,124.3,118.275,-0.036,-0.937,2.4,-19.3,0.3,-31.5,-2.5,0,  NONE,   NONE,      ,      ,590.6, 3DDiff,3704,      ,38,55,45
2024/5/25, 08:07:39,  +08:00,   GHN0,30.9480801,104.3302536,1561.5,29.65,1588.8,29,78.21,85.28,443.42,4.95,0.45,0,-0.08,126.4,129.7,27.8,28.8,0.6,28,24.8,19.01,193.86,76.88,27.96,2625.6,0.89,338.24,345.62,345.82,334.68,        ,        ,1297.38,1325.25,1272.78,1294.21,456.88,601.68,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1453.1,82, NAV1,127,109.9,113.5,124.3,118.275,-0.049,-0.606,2.72,-20.9,0.3,-32.8,-2.5,0,  NONE,   NONE,      ,      ,602.4, 3DDiff,3704,      ,38,54.5,46
2024/5/25, 08:07:40,  +08:00,   GHN0,30.9478359,104.3306122,1569.5,29.65,1598.3,29,79,85.47,475.14,5.61,-0.15,0.02,-0.04,126.6,129.6,27.8,28.8,0.6,28,24.8,18.97,193.75,76.85,27.94,2633.2,0.89,338.5,345.8,346.03,334.84,        ,        ,1296.77,1324.97,1273.63,1295.26,456.26,601.92,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1462.6,82, NAV1,127,109.9,113.5,124.3,118.275,-0.068,0.228,3.02,-21.7,0.4,-33.9,-2.5,0,  NONE,   NONE,      ,      ,543.3, 3DDiff,3704,      ,38,54.5,45
2024/5/25, 08:07:41,  +08:00,   GHN0,30.9475937,104.330986,1578.5,29.65,1607,29,79.32,85.74,470.18,5.06,0.11,-0.01,-0.01,127.4,129.7,27.8,28.8,0.6,28,24.82,18.98,193.63,76.83,27.92,2630.9,0.89,338.73,345.97,346.22,335.02,        ,        ,1295.73,1325.39,1273.06,1297.1,455.66,602.17,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1471.3,83, NAV1,127,109.9,113.5,124.3,118.275,-0.085,0.671,3.31,-22,0.4,-34.9,-2.5,0,  NONE,   NONE,      ,      ,503.9, 3DDiff,3704,      ,38,54.5,45
2024/5/25, 08:07:42,  +08:00,   GHN0,30.9473515,104.3313522,1585.5,29.65,1615.3,29,78.74,86.03,475.34,5.24,-3.18,0.03,-0.05,126.4,129.7,27.8,28.8,0.6,28,24.8,18.98,193.57,76.78,27.9,2626.8,0.89,338.98,346.15,346.42,335.18,        ,        ,1295.74,1325.72,1274.22,1296.59,455.09,602.39,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1479.7,82, NAV1,127,109.9,113.5,124.3,118.275,-0.101,0.744,3.57,-21.9,0.4,-35.7,-2.5,0,  NONE,   NONE,      ,      ,492.1, 3DDiff,3704,      ,38,55,45
2024/5/25, 08:07:43,  +08:00,   GHN0,30.9471092,104.3317184,1592.5,29.65,1622.1,29,78.2,86.33,449.08,5.65,-1.01,-0.01,0.06,124.1,129.5,27.8,28.8,0.6,28,24.7,18.96,193.59,76.72,27.9,2630,0.89,339.22,346.29,346.61,335.35,        ,        ,1296.6,1324.42,1275.72,1295.59,454.49,602.63,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1486.5,82, NAV1,127,109.9,113.5,124.3,118.275,-0.121,0.803,3.82,-21.6,0.4,-36.6,-2.5,0,  NONE,   NONE,      ,      ,413.4, 3DDiff,3704,      ,38,55,45
2024/5/25, 08:07:44,  +08:00,   GHN0,30.9468708,104.3320999,1599.5,29.65,1631,29,78.67,86.6,433.5,4.93,0.87,-0.01,-0.02,124.5,129,27.8,28.8,0.6,28,24.69,18.9,193.62,76.57,27.93,2633.6,0.89,339.48,346.47,346.8,335.52,        ,        ,1296.78,1324.49,1276.68,1296.51,453.88,602.87,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1495.4,82, NAV1,127,109.9,113.5,124.3,118.275,-0.14,1.01,4.06,-21.1,0.5,-37.3,-2.5,0,  NONE,   NONE,      ,      ,511.8, 3DDiff,3704,      ,38,55,45
2024/5/25, 08:07:45,  +08:00,   GHN0,30.9466305,104.3324738,1608.5,29.65,1639.7,28.8,80.52,86.77,436.28,4.93,1.01,0,-0.06,127.3,129.2,27.8,28.8,0.6,28,24.8,18.86,193.64,76.54,27.91,2632.8,0.89,339.72,346.62,347,335.7,        ,        ,1297.79,1324.89,1277.69,1296.78,453.29,603.09,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1504,84, NAV1,127,109.9,113.5,124.3,118.275,-0.15,0.866,4.29,-20.2,0.5,-38,-2.5,0,  NONE,   NONE,      ,      ,539.4, 3DDiff,3704,      ,38,54.5,45
2024/5/25, 08:07:46,  +08:00,   GHN0,30.9463882,104.3328552,1615.5,29.65,1647.5,28.8,80.14,87.08,446.98,4.6,-0.19,0.02,-0.08,127.8,129.5,27.8,28.8,0.6,28,24.85,18.87,193.65,76.64,27.89,2630.8,0.89,339.97,346.76,347.18,335.86,        ,        ,1298.19,1325.35,1277.78,1298.23,452.7,603.35,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1511.8,84, NAV1,127,109.9,113.5,124.3,118.275,-0.16,0.777,4.52,-19.3,0.5,-38.6,-2.5,0,  NONE,   NONE,      ,      ,503.9, 3DDiff,3704,      ,38,54.5,45
