#airframe_info," log_version=""1.03"""," log_content_version=""1.02"""," Product=""GIFD"""," airframe_name=""Cirrus SR20"""," unit_software_part_number=""006-B1177-C2"""," unit_software_version=""21.70"""," system_software_part_number=""006-B2647-N9"""," system_id=""25F7F0B4D""", mode=NORMAL," flightstream_header=""25F7F0B4D_0774""", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2024/5/26, 09:37:34,  +08:00,   GHN0,30.9704552,104.2941208,5901.5,29.71,6190.9,18.2,99.16,110.31,49.2,2.18,-1.13,-0.01,-0.02,121.3,125.9,27.7,28.8,0.6,17.67,17.57,8.97,190.12,73.4,19.57,2521.5,0.56,361.49,339.25,368.94,357.81,        ,        ,1412.76,1446.37,1449.36,1513.62,        ,668.13,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,6055.7,111,  GPS,125.4,109.9,113.5,120.3,118.275,-0.01,       ,7.97,41.8,2,124.9,-2.5,1,   GPS,    ALT,-0.5,2.3,86.6, 3DDiff,3704,      ,29,40,39
2024/5/26, 09:37:35,  +08:00,   GHN0,30.970171,104.2946167,5901.5,29.71,6192.7,18.2,98.34,110.43,45.35,1.59,-0.87,-0.02,-0.06,121,125.6,27.7,28.8,0.6,17.65,17.48,8.97,190.14,73.36,19.58,2520.2,0.56,361.49,339.26,368.93,357.8,        ,        ,1412.74,1446.19,1450.25,1513.68,        ,668.16,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,6057.6,110,  GPS,125.4,109.9,113.5,120.3,118.275,-0.01,       ,7.93,41.7,1.9,124.9,-2.5,1,   GPS,    ALT,-0.5,1.7,82.7, 3DDiff,3704,      ,29,40.5,39
2024/5/26, 09:37:36,  +08:00,   GHN0,30.9698944,104.2951202,5901.5,29.71,6193.7,18.2,97.17,110.72,58.89,1.48,-0.43,0.03,-0.03,122.9,125.4,27.7,28.8,0.6,17.65,17.62,8.96,190.14,73.19,19.57,2516.3,0.56,361.47,339.25,368.92,357.79,        ,        ,1412.6,1446.74,1450.77,1513.21,        ,668.17,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,6058.5,109,  GPS,125.4,109.9,113.5,120.3,118.275,-0.01,       ,7.91,41.5,1.9,124.9,-2.5,1,   GPS,    ALT,-0.5,1.5,-11.8, 3DDiff,3704,      ,29,40.5,38
2024/5/26, 09:37:37,  +08:00,   GHN0,30.969614,104.2956238,5904.5,29.71,6192.1,18.5,97.87,111.03,67.11,2.38,1.38,0,0.04,122.8,125.5,27.7,28.8,0.6,17.58,17.68,8.97,190.16,73.27,19.57,2521.9,0.56,361.46,339.26,368.91,357.8,        ,        ,1413.04,1447.07,1450.37,1513.06,        ,668.2,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,6057,110,  GPS,125.4,109.9,113.5,120.3,118.275,-0.01,       ,7.88,41.2,1.9,124.9,-2.5,1,   GPS,    ALT,-0.4,1.9,-90.6, 3DDiff,3704,      ,29,40.5,39
2024/5/26, 09:37:38,  +08:00,   GHN0,30.9693356,104.2961197,5900.5,29.71,6190.9,18.5,97.18,111.29,17.81,2.19,-1.72,0.03,0.06,122,125.6,27.7,28.8,0.6,17.67,17.6,9.01,190.22,73.35,19.55,2525.1,0.56,361.44,339.26,368.91,357.8,        ,        ,1413.52,1447.36,1450.4,1512.49,        ,668.25,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,6055.8,109,  GPS,125.4,109.9,113.5,120.3,118.275,-0.01,       ,7.85,40.8,1.8,124.9,-2.5,1,   GPS,    ALT,-0.3,2.2,-78.7, 3DDiff,3704,      ,29,40.5,39
2024/5/26, 09:37:39,  +08:00,   GHN0,30.9690514,104.2966309,5899.5,29.71,6189,18.5,98.14,111.38,-63.61,2.81,-0.6,0.01,0.07,122.6,125.5,27.7,28.8,0.6,17.62,17.63,9.03,190.26,73.4,19.55,2524.1,0.56,361.42,339.26,368.89,357.78,        ,        ,1412.74,1446.46,1451.23,1511.56,        ,668.27,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,6053.9,110,  GPS,125.4,109.9,113.5,120.3,118.275,-0.01,       ,7.79,40.3,1.8,124.9,-2.5,1,   GPS,    ALT,-0.3,2.5,-122, 3DDiff,3704,      ,29,40.5,39
2024/5/26, 09:37:40,  +08:00,   GHN0,30.968771,104.2971268,5895.5,29.71,6189.5,18.2,98.99,111.5,-134.76,2.66,-0.43,0.01,-0.06,123.9,125.3,27.7,28.8,0.6,17.59,17.62,9.04,190.28,73.28,19.54,2530.7,0.56,361.41,339.25,368.89,357.79,        ,        ,1412.37,1446.81,1450.78,1511.98,        ,668.26,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,6054.3,111,  GPS,125.4,109.9,113.5,120.3,118.275,-0.009,       ,7.74,39.7,1.8,124.8,-2.5,1,   GPS,    ALT,-0.3,3,-63, 3DDiff,3704,      ,29,40,39
2024/5/26, 09:37:41,  +08:00,   GHN0,30.9684944,104.2976303,5898.5,29.71,6188.4,18.2,99.31,111.38,-86.66,3.56,-0.59,-0.01,0.13,122.9,125.4,27.7,28.8,0.6,17.59,17.68,9.04,190.27,73.39,19.57,2529,0.56,361.4,339.26,368.87,357.78,        ,        ,1410.97,1446.86,1450.83,1511.72,        ,668.26,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,6053.3,112,  GPS,125.4,109.9,113.5,120.3,118.275,-0.009,       ,7.66,39,1.8,124.8,-2.5,1,   GPS,    ALT,-0.3,3.2,-43.3, 3DDiff,3704,      ,29,40.5,39
2024/5/26, 09:37:42,  +08:00,   GHN0,30.9682121,104.2981339,5896.5,29.71,6188.4,18.2,99.38,111.27,-71.11,2.44,-0.91,0.01,-0.09,122.4,125.2,27.7,28.8,0.6,17.62,17.57,9,190.38,73.45,19.56,2527.5,0.56,361.39,339.27,368.87,357.78,        ,        ,1410.92,1446.41,1451.13,1511.61,        ,668.3,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,6053.3,112,  GPS,125.4,109.9,113.5,120.3,118.275,-0.009,       ,7.57,38.3,1.7,124.8,-2.5,1,   GPS,    ALT,-0.3,3.1,86.6, 3DDiff,3704,      ,29,40.5,38
2024/5/26, 09:37:43,  +08:00,   GHN0,30.9679317,104.298645,5899.5,29.71,6189.9,18.2,99.71,111.15,-19.22,2.45,-0.04,0,-0.02,121.8,125.4,27.7,28.8,0.6,17.62,17.61,9.06,190.49,73.5,19.55,2530,0.56,361.37,339.27,368.85,357.78,        ,        ,1411.27,1446.39,1451.51,1513.28,        ,668.31,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,6054.7,112,  GPS,125.4,109.9,113.5,120.3,118.275,-0.009,       ,7.47,37.6,1.7,124.8,-2.5,1,   GPS,    ALT,-0.3,2.4,94.5, 3DDiff,3704,      ,29,40.5,39
