#airframe_info," log_version=""1.03"""," log_content_version=""1.02"""," Product=""GIFD"""," airframe_name=""Cirrus SR20"""," unit_software_part_number=""006-B1177-C2"""," unit_software_version=""21.70"""," system_software_part_number=""006-B2647-N9"""," system_id=""25E7EC26F""", mode=NORMAL," flightstream_header=""25E7EC26F_0827""", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2024/5/26, 15:35:43,  +08:00,  GHN00,30.9465771,104.3327255,1620,29.62,1639.4,37,84.28,88.93,462.84,4.22,1.61,-0.03,0.02,125.8,129,27.7,28.8,0.9,24.69,26.48,17.6,200.31,73.7,27.95,2654.6,0.9,330.8,344.5,356.36,360,        ,        ,1330.57,1303.81,1452.01,1337,        ,717.98,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1503.7,89,  GPS,127.9,109.9,113.5,124.3,118.275,-0.056,       ,3.28,-31.2,0.5,-38.9,-2.5,0,  NONE,   NONE,      ,      ,480.3,     3D,3704,      ,       ,82.5,       
2024/5/26, 15:35:44,  +08:00,  GHN00,30.946331,104.3331146,1626,29.62,1647.6,37,84.88,89.22,476.36,3.66,0.33,0.02,0.04,127.1,129.1,27.7,28.8,0.9,24.59,26.51,17.56,200.36,73.78,27.96,2656.3,0.9,331.2,344.82,356.92,360.32,        ,        ,1331.41,1304.74,1452.79,1337.61,        ,718.36,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1512,90,  GPS,127.9,109.9,113.5,124.3,118.275,-0.057,       ,3.27,-27.8,0.5,-39.4,-2.5,0,  NONE,   NONE,      ,      ,492.1,     3D,3704,      ,       ,82.5,       
2024/5/26, 15:35:45,  +08:00,  GHN00,30.9460812,104.3334961,1628,29.62,1656.9,37,83.75,89.57,354.66,4.44,2.33,-0.02,0.06,126.5,129.3,27.7,28.8,0.9,24.61,26.51,17.59,200.39,73.73,27.93,2656.6,0.9,331.6,345.13,357.52,360.69,        ,        ,1331.5,1304.7,1453.01,1337.14,        ,718.74,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1521.2,89,  GPS,127.9,109.9,113.5,124.3,118.275,-0.057,       ,3.25,-24.2,0.5,-40,-2.5,0,  NONE,   NONE,      ,      ,551.2,     3D,3704,      ,       ,82.5,       
2024/5/26, 15:35:46,  +08:00,  GHN00,30.9458294,104.3338852,1641,29.62,1667.9,36.8,84.66,89.81,401.68,4.28,1.74,-0.02,-0.24,125.8,129.5,27.7,28.8,0.9,24.57,26.45,17.62,200.41,73.59,27.93,2653.3,0.9,332.01,345.46,358.11,361.06,        ,        ,1331.96,1305.64,1452.78,1337.12,        ,719.13,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1532.1,90,  GPS,127.9,109.9,113.5,124.3,118.275,-0.057,       ,3.25,-20.5,0.6,-40.4,-2.5,0,  NONE,   NONE,      ,      ,645.7,     3D,3704,      ,       ,82.5,       
2024/5/26, 15:35:47,  +08:00,  GHN00,30.9455757,104.3342667,1649,29.62,1678,36.8,86.4,89.81,501.89,5.43,2.55,-0.03,0.06,126.5,129.7,27.7,28.8,0.9,24.57,26.51,17.6,200.44,73.62,27.93,2659.6,0.9,332.41,345.78,358.71,361.48,        ,        ,1332.35,1307.07,1452.91,1337.77,        ,719.59,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1542.2,92,  GPS,127.9,109.9,113.5,124.3,118.275,-0.058,       ,3.25,-16.4,0.6,-40.8,-2.5,0,  NONE,   NONE,      ,      ,602.4,     3D,3704,      ,       ,82.5,       
2024/5/26, 15:35:48,  +08:00,  GHN00,30.9453239,104.3346481,1659,29.62,1688.4,36.5,87.21,89.55,535.71,5.7,0.32,-0.01,0,127.4,129.9,27.7,28.8,0.9,24.51,26.53,17.64,200.46,73.63,27.91,2653.3,0.9,332.84,346.08,359.31,361.85,        ,        ,1331.34,1308.01,1453.34,1338.17,        ,719.98,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1552.6,93,  GPS,127.9,109.9,113.5,124.3,118.275,-0.058,       ,3.25,-12,0.6,-41.2,-2.5,0,  NONE,   NONE,      ,      ,692.9,     3D,3704,      ,       ,82.5,       
2024/5/26, 15:35:49,  +08:00,  GHN00,30.9450703,104.3350372,1667,29.62,1701.1,36.5,85.53,89.11,506.59,6.42,1.03,0,0.02,126.1,130.1,27.7,28.8,0.9,24.57,26.49,17.56,200.46,73.67,27.91,2651.1,0.9,333.25,346.39,359.91,362.18,        ,        ,1331.1,1307.04,1452.98,1338.23,        ,720.36,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1565.3,91,  GPS,127.9,109.9,113.5,124.3,118.275,-0.059,       ,3.26,-7.4,0.6,-41.5,-2.5,0,  NONE,   NONE,      ,      ,724.4,     3D,3704,      ,       ,82.5,       
2024/5/26, 15:35:50,  +08:00,  GHN00,30.9448185,104.3354111,1681,29.62,1713.1,36.5,84.32,88.66,601.86,5.3,1.38,-0.01,-0.17,124.9,130.2,27.7,28.8,0.9,24.54,26.5,17.5,200.46,73.58,27.86,2649.3,0.9,333.66,346.71,360.51,362.6,        ,        ,1330.1,1306.16,1452.51,1337.53,        ,720.77,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1577.4,90,  GPS,127.9,109.9,113.5,124.3,118.275,-0.059,       ,3.29,-2.7,0.7,-41.9,-2.5,0,  NONE,   NONE,      ,      ,724.4,     3D,3704,      ,       ,82.5,       
2024/5/26, 15:35:51,  +08:00,  GHN00,30.9445686,104.3357849,1699,29.62,1722.7,36.5,85.3,88.5,774.72,4.46,-2,0,0.02,126.9,130,27.7,28.8,0.9,24.34,26.52,17.55,200.38,73.52,27.86,2651.3,0.9,334.06,347.05,361.13,362.93,        ,        ,1330.08,1306.35,1452.58,1337.47,        ,721.15,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1586.9,91,  GPS,127.9,109.9,113.5,124.3,118.275,-0.059,       ,3.36,2.1,0.7,-42.1,-2.5,0,  NONE,   NONE,      ,      ,590.6,     3D,3704,      ,       ,82.5,       
2024/5/26, 15:35:52,  +08:00,  GHN00,30.9443188,104.3361664,1701,29.62,1733.5,36.2,85.05,88.62,653.27,4.58,-3.48,0.03,-0.14,127.3,129.6,27.7,28.8,0.9,24.27,26.59,17.57,200.33,73.46,27.86,2652.7,0.9,334.49,347.34,361.74,363.31,        ,        ,1330.12,1305.78,1452.07,1337.68,        ,721.54,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1597.8,90,  GPS,127.9,109.9,113.5,124.3,118.275,-0.06,       ,3.44,6.7,0.7,-42.4,-2.5,0,  NONE,   NONE,      ,      ,641.7,     3D,3704,      ,       ,83,       
