#airframe_info," log_version=""1.03"""," log_content_version=""1.02"""," Product=""GIFD"""," airframe_name=""Cirrus SR20"""," unit_software_part_number=""006-B1177-C2"""," unit_software_version=""21.70"""," system_software_part_number=""006-B2647-N9"""," system_id=""25F7F04FA""", mode=NORMAL," flightstream_header=""25F7F04FA_1060""", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2024/5/23, 14:52:29,  +08:00,   GHN2,31.215744,104.3562012,3557.9,29.74,3722.3,25.8,103.21,120.63,140.98,3.69,31.87,0.02,0.15,13.6,10.6,27.7,28.8,0.4,25.75,21.88,12.19,207.12,67.33,23.55,2481.3,0.69,345.52,339.15,364.91,357.24,        ,        ,1388.55,1393.2,1384,1435.34,        ,1737.5,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3589.7,113, NAV1,127,109.9,113.5,120.3,132.275,-2.403,       ,8,-173.9,15.8,-171.9,-2.5,0,  NONE,   NONE,      ,      ,452.8, 3DDiff,3704,      ,38,45.5,62
2024/5/23, 14:52:30,  +08:00,   GHN2,31.2162876,104.3563614,3567.9,29.74,3729.6,25.8,102.21,120.5,326.41,2.7,36.88,0.01,0.13,20.1,16.5,27.7,28.8,0.4,25.76,21.87,12.13,207.07,67.26,23.57,2472.3,0.69,345.56,339.2,364.97,357.32,        ,        ,1387.87,1393,1383.75,1434.94,        ,1737.98,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3597,112, NAV1,127,109.9,113.5,120.3,132.275,-2.344,       ,7.98,-174.1,15.8,-171.9,-2.5,0,  NONE,   NONE,      ,      ,429.1, 3DDiff,3704,      ,38,45.5,62
2024/5/23, 14:52:31,  +08:00,   GHN2,31.2168102,104.3565826,3571.9,29.74,3734.7,25.8,101.66,120.44,399.47,3.89,38.02,0,0.27,27.4,22.8,27.7,28.8,0.4,25.84,21.81,12.09,207.02,67.27,23.56,2473.8,0.69,345.61,339.23,365,357.39,        ,        ,1388.53,1393.16,1382.17,1434.89,        ,1738.5,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3602.1,111, NAV1,127,109.9,113.5,120.3,132.275,-2.403,       ,7.99,-174.7,15.9,-171.9,-2.5,0,  NONE,   NONE,      ,      ,326.8, 3DDiff,3704,      ,38,45.5,62
2024/5/23, 14:52:32,  +08:00,   GHN2,31.217308,104.3568802,3575.9,29.74,3741.1,25.8,101.75,120.36,334.29,3.92,41.19,-0.02,0.31,34.9,29.9,27.7,28.8,0.4,25.82,21.84,12.18,206.95,67.26,23.53,2481.5,0.69,345.66,339.28,365.04,357.45,        ,        ,1388.69,1393.57,1382.32,1434.79,        ,1738.95,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3608.5,111, NAV1,127,109.9,113.5,120.3,132.275,-2.357,       ,8.02,-175.5,15.9,-171.8,-2.5,0,  NONE,   NONE,      ,      ,334.6, 3DDiff,3704,      ,38,45.5,62
2024/5/23, 14:52:33,  +08:00,   GHN2,31.217762,104.357254,3578.9,29.74,3745.8,25.8,100.76,120.23,298.81,4.04,43.9,-0.02,0.31,42.9,37.7,27.7,28.8,0.4,25.82,21.89,12.22,206.89,67.34,23.53,2477.3,0.69,345.7,339.31,365.08,357.53,        ,        ,1389.12,1393.98,1382.74,1434.73,        ,1739.51,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3613.2,110, NAV1,127,109.9,113.5,120.3,132.275,-2.347,       ,8.09,-176.5,15.9,-171.8,-2.5,0,  NONE,   NONE,      ,      ,303.1, 3DDiff,3704,      ,38,45.5,62
2024/5/23, 14:52:34,  +08:00,   GHN2,31.2181721,104.3576965,3582.9,29.74,3747.7,25.8,101.03,120.09,258.55,2.8,43.37,0,0.24,51.8,45.6,27.7,28.8,0.4,25.77,21.97,12.18,206.84,67.34,23.52,2476.6,0.69,345.77,339.36,365.12,357.6,        ,        ,1389.06,1393.15,1382.5,1434.04,        ,1739.96,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3615.1,110, NAV1,127,109.9,113.5,120.3,132.275,-2.474,       ,8.2,-177.5,16,-171.7,-2.5,0,  NONE,   NONE,      ,      ,244.1, 3DDiff,3704,      ,42,67,72
2024/5/23, 14:52:35,  +08:00,   GHN2,31.2185249,104.3582001,3590.9,29.74,3749,26,100.39,119.97,300.47,2.23,41.53,0,0.23,59.9,53.3,27.7,28.8,0.4,25.75,22.01,12.15,206.82,67.37,23.53,2473.3,0.69,345.82,339.39,365.15,357.67,        ,        ,1389.78,1393.64,1382.9,1434.74,        ,1740.46,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3616.4,110, NAV1,127,109.9,113.5,120.3,132.275,-2.458,       ,8.37,-178.5,16,-171.6,-2.5,0,  NONE,   NONE,      ,      ,78.7, 3DDiff,3704,      ,42,67.5,72
2024/5/23, 14:52:36,  +08:00,   GHN2,31.2188187,104.358757,3589.9,29.74,3747.7,26,100.11,120.01,259.94,2.09,38.79,0,0.21,66.6,60.8,27.7,28.8,0.4,25.8,22.02,12.16,206.84,67.4,23.53,2478.2,0.69,345.88,339.44,365.19,357.75,        ,        ,1389.06,1392.82,1383.71,1434.56,        ,1740.95,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3615.1,109, NAV1,127,109.9,113.5,120.3,132.275,-2.299,       ,8.57,-179.3,16,-171.5,-2.5,0,  NONE,   NONE,      ,      ,-70.9, 3DDiff,3704,      ,42,68,72
2024/5/23, 14:52:37,  +08:00,   GHN2,31.2190533,104.3593445,3585.9,29.74,3744.8,26,101.27,120.07,45.81,1.97,38.95,0.02,0.37,74.7,67.8,27.7,28.8,0.4,25.77,22.06,12.12,206.82,67.38,23.52,2482.7,0.69,345.94,339.47,365.25,357.83,        ,        ,1390.01,1392.42,1384.22,1434.71,        ,1741.45,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3612.2,111, NAV1,127,109.9,113.5,120.3,132.275,-2.279,       ,8.82,-179.8,16,-171.4,-2.5,0,  NONE,   NONE,      ,      ,-169.3, 3DDiff,3704,      ,42,68,72
2024/5/23, 14:52:38,  +08:00,   GHN2,31.2192173,104.3599625,3584.9,29.74,3742.3,26,102.54,120.15,-69.62,1.41,43.73,-0.02,0.33,82.7,75.4,27.7,28.8,0.4,25.72,22.13,12.21,206.83,67.44,23.53,2485.7,0.69,346.01,339.52,365.29,357.9,        ,        ,1390.87,1391.67,1384.6,1434.12,        ,1741.99,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,3609.7,112, NAV1,127,109.9,113.5,120.3,132.275,-2.039,       ,9.09,179.9,16,-171.3,-2.5,0,  NONE,   NONE,      ,      ,-102.4, 3DDiff,3704,      ,42,67.5,72
