#airframe_info," log_version=""1.03"""," log_content_version=""1.02"""," Product=""GIFD"""," airframe_name=""Cirrus SR20"""," unit_software_part_number=""006-B1177-C2"""," unit_software_version=""21.70"""," system_software_part_number=""006-B2647-N9"""," system_id=""25E7EBA0C""", mode=NORMAL," flightstream_header=""25E7EBA0C_2700""", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2024/5/24, 17:01:44,  +08:00,  GHN00,31.2091808,104.2782364,7539.4,29.59,8033.9,16,99.23,121.61,102.78,3,5.78,-0.01,0.01,69.6,67.1,27.8,28.7,-0.1,15.54,14.1,12.01,188.25,73.35,19.75,2534.8,0.59,347.5,327.98,345.69,351.87,        ,        ,1266.7,1259.95,1262.49,1294.95,1391.07,511.1,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,7902,115, NAV1,127,109.9,113.5,120.3,118.275,       ,0.887,8.49,-152.7,15.5,173.3,-2.5,0,  NONE,   NONE,      ,      ,31.5,     3D,3704,      ,       ,231.5,       
2024/5/24, 17:01:45,  +08:00,  GHN00,31.2094116,104.2788315,7539.4,29.59,8034.1,16,99.25,121.3,34.11,2.64,4.17,0.01,-0.01,71.2,67.9,27.8,28.7,-0.1,15.55,14.11,12,188.16,73.35,19.74,2535.8,0.59,347.43,327.91,345.62,351.77,        ,        ,1266.53,1260.32,1262.63,1294.88,1390.93,511.2,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,7902.2,115, NAV1,127,109.9,113.5,120.3,118.275,       ,0.861,8.49,-152.4,15.6,173.4,-2.5,0,  NONE,   NONE,      ,      ,15.7,     3D,3704,      ,       ,231.5,       
2024/5/24, 17:01:46,  +08:00,  GHN00,31.2096405,104.2794189,7541.4,29.59,8034.4,16,99.81,121.04,40.7,2.49,4.02,0,-0.02,70.9,68.7,27.8,28.7,-0.1,15.53,14.17,12.05,188.08,73.27,19.75,2540.8,0.59,347.36,327.84,345.56,351.69,        ,        ,1266.76,1261.11,1262.57,1294.9,1390.81,511.3,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,7902.5,116, NAV1,127,109.9,113.5,120.3,118.275,       ,0.897,8.5,-152.1,15.6,173.5,-2.5,0,  NONE,   NONE,      ,      ,15.7,     3D,3704,      ,       ,231.5,       
2024/5/24, 17:01:47,  +08:00,  GHN00,31.2098598,104.2800217,7541.4,29.59,8034.6,16,99.97,120.83,17.7,2.1,3.41,0,-0.02,71.5,69.2,27.8,28.7,-0.1,15.5,14.2,12.15,187.98,73.29,19.72,2539.3,0.59,347.28,327.77,345.48,351.6,        ,        ,1266.6,1260.89,1261.99,1295.4,1390.67,511.42,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,7902.7,116, NAV1,127,109.9,113.5,120.3,118.275,-0.942,1.012,8.49,-151.8,15.6,173.6,-2.5,0,  NONE,   NONE,      ,      ,15.7,     3D,3704,      ,       ,231.5,       
2024/5/24, 17:01:48,  +08:00,  GHN00,31.2100792,104.2806244,7541.4,29.59,8034.4,16,99.42,120.77,10.76,1.88,1.26,0.01,0.01,72.5,69.5,27.8,28.7,-0.1,15.5,14.24,12.06,187.95,73.37,19.73,2536.6,0.59,347.2,327.69,345.42,351.51,        ,        ,1266.77,1260.47,1261.71,1294.67,1390.58,511.49,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,7902.5,115, NAV1,127,109.9,113.5,120.3,118.275,-1.142,1.051,8.48,-151.6,15.6,173.8,-2.5,0,  NONE,   NONE,      ,      ,-27.6,     3D,3704,      ,       ,231.5,       
2024/5/24, 17:01:49,  +08:00,  GHN00,31.2102966,104.2812271,7541.4,29.59,8033.7,16,99.8,120.83,12.11,2.01,0.4,0,0,72.4,70,27.8,28.7,-0.1,15.5,14.26,12.13,188,73.3,19.76,2537.8,0.59,347.13,327.61,345.34,351.43,        ,        ,1265.84,1260.89,1261.26,1294.48,1390.46,511.59,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,7901.8,116, NAV1,127,109.9,113.5,120.3,118.275,-1.087,1.097,8.46,-151.4,15.6,173.9,-2.5,0,  NONE,   NONE,      ,      ,-35.4,     3D,3704,      ,       ,231.5,       
2024/5/24, 17:01:50,  +08:00,  GHN00,31.2105122,104.2818298,7539.4,29.59,8032.8,16,99.55,120.87,-22.99,1.98,0.38,-0.01,-0.03,72.2,70,27.8,28.7,-0.1,15.47,14.3,12.1,188.08,73.34,19.76,2537.8,0.59,347.06,327.55,345.27,351.33,        ,        ,1265.45,1261.15,1260.7,1294.5,1390.33,511.67,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,7901,115, NAV1,127,109.9,113.5,120.3,118.275,-1.138,1.065,8.43,-151.3,15.6,174,-2.5,0,  NONE,   NONE,      ,      ,-31.5,     3D,3704,      ,       ,231.5,       
2024/5/24, 17:01:51,  +08:00,  GHN00,31.2107239,104.2824249,7538.4,29.59,8032,16,99.35,120.93,-54.11,2,0.89,-0.02,0,72.3,70,27.8,28.7,-0.1,15.48,14.33,12.09,188.23,73.31,19.74,2536.5,0.59,346.98,327.46,345.19,351.25,        ,        ,1264.56,1261.23,1259.92,1294.51,1390.19,511.72,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,7900.1,115, NAV1,127,109.9,113.5,120.3,118.275,-1.364,1.01,8.39,-151.1,15.6,174.1,-2.5,0,  NONE,   NONE,      ,      ,-43.3,     3D,3704,      ,       ,231.5,       
2024/5/24, 17:01:52,  +08:00,  GHN00,31.2109394,104.2830353,7536.4,29.59,8031.5,16,99.24,121,-76.85,1.79,-0.22,0,-0.02,72.5,70.1,27.8,28.7,-0.1,15.48,14.36,12.1,188.3,73.35,19.75,2537.8,0.59,346.91,327.4,345.11,351.17,        ,        ,1264.01,1260.81,1259.68,1294.08,1390.11,511.8,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,7899.7,115, NAV1,127,109.9,113.5,120.3,118.275,-1.219,0.984,8.35,-151,15.6,174.2,-2.5,0,  NONE,   NONE,      ,      ,-35.4,     3D,3704,      ,       ,231.5,       
2024/5/24, 17:01:53,  +08:00,  GHN00,31.2111549,104.283638,7537.4,29.59,8030.8,16,99.26,121.14,-59.84,1.88,-0.75,0.02,0,72.9,70.1,27.8,28.7,-0.1,15.49,14.35,12.09,188.35,73.33,19.75,2536,0.59,346.83,327.32,345.07,351.08,        ,        ,1264.2,1260.64,1259.72,1294.03,1390.03,511.9,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,7898.9,115, NAV1,127,109.9,113.5,120.3,118.275,-1.345,0.916,8.31,-150.9,15.6,174.4,-2.5,0,  NONE,   NONE,      ,      ,-47.2,     3D,3704,      ,       ,232,       
