#airframe_info," log_version=""1.03"""," log_content_version=""1.02"""," Product=""GIFD"""," airframe_name=""Cirrus SR20"""," unit_software_part_number=""006-B1177-C2"""," unit_software_version=""21.70"""," system_software_part_number=""006-B2647-N9"""," system_id=""25E7EC26F""", mode=NORMAL," flightstream_header=""25E7EC26F_0846""", ,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2024/5/29 , 19:06:21,  +08:00,  GHN00,30.9538918,104.3210373,1497.9,29.74,1541,21.8,0,4.57,1.32,0.52,-0.14,0.03,0.02,126.1,127,27.7,28.8,1,28,24.56,2.21,172.09,57.04,11.53,1146.9,0.02,281.95,298.7,299.9,308.76,        ,        ,1151.13,1130.13,1162.63,1196.91,        ,1700.06,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1405.4,0, NAV1,127,109.9,113.5,124.3,118.275,-0.037,-1.372,       ,       ,0.3,106.1,-2.5,0,  NONE,   NONE,      ,      ,0, 3DDiff,3704,      ,38,69,56
2024/5/29 , 19:06:22,  +08:00,  GHN00,30.9538822,104.3210602,1497.9,29.74,1541.1,21.8,0,4.57,-2.43,0.43,0.33,-0.02,0,126.9,126.5,27.7,28.8,1,28,24.57,2.23,172.1,57.02,11.54,1144.8,0.02,281.98,298.71,299.89,308.76,        ,        ,1152.52,1130.78,1163.29,1195.94,        ,1700.11,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1405.5,0, NAV1,127,109.9,113.5,124.3,118.275,0.235,-1.459,       ,       ,0.3,105.9,-2.5,0,  NONE,   NONE,      ,      ,0, 3DDiff,3704,      ,38,69,56
2024/5/29 , 19:06:23,  +08:00,  GHN00,30.953867,104.3210831,1498.9,29.74,1541.3,21.8,0,4.68,0.22,0.98,-0.08,0.01,-0.01,127.8,127.1,27.7,28.8,1,28,24.64,2.23,172.08,57.02,11.6,1145.4,0.02,281.98,298.73,299.9,308.77,        ,        ,1152.41,1130.77,1162.8,1195.63,        ,1700.16,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1405.7,0, NAV1,127,109.9,113.5,124.3,118.275,0.254,-1.819,       ,       ,0.3,105.9,-2.5,0,  NONE,   NONE,      ,      ,-3.9, 3DDiff,3704,      ,38,69.5,56
2024/5/29 , 19:06:24,  +08:00,  GHN00,30.9538536,104.321106,1498.9,29.74,1540.2,21.8,0,5,-4.61,1.09,0,0.03,0,129,128.1,27.7,28.8,1,28,24.69,2.27,172.1,57.11,12.48,1152.8,0.02,281.99,298.75,299.92,308.77,        ,        ,1151.65,1131.79,1162.4,1195.69,        ,1700.21,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1404.6,0, NAV1,127,109.9,113.5,124.3,118.275,0.26,-1.281,       ,       ,0.3,105.7,-2.5,0,  NONE,   NONE,      ,      ,-3.9, 3DDiff,3704,      ,38,68,56
2024/5/29 , 19:06:25,  +08:00,  GHN00,30.9538364,104.3211288,1500.9,29.74,1539.8,21.8,0,5.52,1.45,0.98,0.1,-0.01,0.02,130,129.3,27.7,28.8,1.3,28,24.74,6.08,172.06,61.13,24.28,1621.5,0.28,282.01,298.77,299.9,308.78,        ,        ,1155.01,1132.97,1164.12,1195.35,        ,1700.28,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1404.1,0, NAV1,127,109.9,113.5,124.3,118.275,0.17,-1.4,       ,       ,0.3,105.6,-2.5,0,  NONE,   NONE,      ,      ,0, 3DDiff,3704,      ,38,68.5,55
2024/5/29 , 19:06:26,  +08:00,  GHN00,30.9538174,104.3211594,1508.9,29.74,1539.7,21.8,0,7.08,184.51,0.77,0.08,0.01,-0.01,130.7,130.2,27.7,28.8,1.2,28,24.76,10.29,171.7,69.67,26.93,2226.2,0.56,282.02,298.81,299.92,308.78,        ,        ,1176.16,1143.99,1182.12,1207.92,        ,1700.33,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1404,0, NAV1,127,109.9,113.5,124.3,118.275,0.025,-1.568,       ,       ,0.3,105.4,-2.5,0,  NONE,   NONE,      ,      ,0, 3DDiff,3704,      ,38,68.5,55
2024/5/29 , 19:06:27,  +08:00,  GHN00,30.9537849,104.3212051,1519.9,29.74,1539.5,21.8,25.98,10.05,382.58,0.65,0.22,-0.02,-0.01,130.8,130.9,27.7,28.8,1,28,24.84,13.62,171.43,74.58,27.61,2521.1,0.79,282.04,298.83,299.93,308.8,        ,        ,1207.92,1171.88,1209.58,1229.72,        ,1700.4,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1403.8,26, NAV1,127,109.9,113.5,124.3,118.275,0.059,-1.651,       ,       ,0.3,105.1,-2.5,0,  NONE,   NONE,      ,      ,-3.9, 3DDiff,3704,      ,38,68.5,56
2024/5/29 , 19:06:28,  +08:00,  GHN00,30.9537449,104.3212662,1521.9,29.74,1539.3,21.8,28.85,13.82,447.49,0.86,0.26,-0.03,0,129.3,130.4,27.7,28.8,0.9,28,24.96,14.49,171.47,77.3,28,2407.2,0.8,282.08,298.89,300,308.83,        ,        ,1228.16,1195.53,1229.91,1246.64,        ,1700.46,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1403.7,29, NAV1,127,109.9,113.5,124.3,118.275,0.019,-1.627,       ,       ,0.3,104.8,-2.5,0,  NONE,   NONE,      ,      ,-3.9, 3DDiff,3704,      ,38,69,56
2024/5/29 , 19:06:29,  +08:00,  GHN00,30.9536972,104.3213425,1521.9,29.74,1539.3,21.8,30.17,17.14,277.88,0.97,0.26,-0.02,-0.01,127.9,128.9,27.7,28.8,1,27.96,25.16,16.2,171.8,80.23,28.04,2642,0.84,282.13,298.98,300.1,308.88,        ,        ,1246.85,1211.59,1247.25,1262.39,        ,1700.51,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1403.6,30, NAV1,127,109.9,113.5,124.3,118.275,-0.049,-1.265,       ,       ,0.3,104.4,-2.5,0,  NONE,   NONE,      ,      ,-3.9, 3DDiff,3704,      ,38,69,56
2024/5/29 , 19:06:30,  +08:00,  GHN00,30.95364,104.321434,1525.9,29.74,1540.2,21.8,34.68,20.95,241.27,0.91,0.25,0.01,-0.03,128.2,127.7,27.7,28.8,0.9,27.82,25.39,16.99,172.2,81.65,28.07,2624.4,0.9,282.22,299.08,300.25,308.96,        ,        ,1264.38,1231.71,1265.52,1278.67,        ,1700.56,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1404.5,34, NAV1,127,109.9,113.5,124.3,118.275,0,-1.405,       ,       ,0.3,103.9,-2.5,0,  NONE,   NONE,      ,      ,-3.9, 3DDiff,3704,      ,38,68,55
