#airframe_info," log_version=""1.03"""," log_content_version=""1.02"""," Product=""GIFD"""," airframe_name=""Cirrus SR20"""," unit_software_part_number=""006-B1177-C2"""," unit_software_version=""21.70"""," system_software_part_number=""006-B2647-N9"""," system_id=""25E97BAC7""", mode=NORMAL," flightstream_header=""25E97BAC7_2567""", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2024/5/26, 15:52:30,  +08:00,   GHN1,30.9479599,104.3304672,1579,29.62,1598.7,37.2,80.3,85.9,485.35,4.97,1.69,0,0.01,123.8,128.5,27.7,28.8,0.7,27.09,25.84,17.64,198.98,77.86,28.32,2661,0.92,323.67,328.96,336.26,338.34,        ,        ,1395.13,1400.76,1357.76,1390.95,        ,650.67,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1463,85, NAV1,127,109.9,113.5,124.3,118.275,-0.033,0.32,0.98,-55.2,0.4,-33,-2.5,0,  NONE,   NONE,      ,      ,511.8,     3D,3704,      ,       ,125.5,       
2024/5/26, 15:52:31,  +08:00,   GHN1,30.9477215,104.3308411,1587,29.62,1609,37.2,80.88,86.25,472.5,4.98,0.1,0,-0.01,124.4,128.7,27.7,28.8,0.7,27.11,25.89,17.6,198.85,77.99,28.3,2661.4,0.92,324.09,329.33,336.82,338.71,        ,        ,1395.16,1401.13,1358.92,1391.26,        ,651.17,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1473.3,86, NAV1,127,109.9,113.5,124.3,118.275,-0.033,0.623,1.05,-40.5,0.4,-34.1,-2.5,0,  NONE,   NONE,      ,      ,566.9,     3D,3704,      ,       ,125.5,       
2024/5/26, 15:52:32,  +08:00,   GHN1,30.9474812,104.3312149,1596,29.62,1619.3,37.2,81.61,86.62,492.8,4.75,0.85,-0.01,-0.01,124.9,128.9,27.7,28.8,0.7,27.13,25.92,17.67,198.73,77.83,28.28,2666.2,0.92,324.52,329.68,337.25,339.09,        ,        ,1394.89,1401.43,1359.43,1392.49,        ,651.66,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1483.6,87, NAV1,127,109.9,113.5,124.3,118.275,-0.036,0.846,1.18,-27.1,0.4,-35.1,-2.5,0,  NONE,   NONE,      ,      ,602.4,     3D,3704,      ,       ,125.5,       
2024/5/26, 15:52:33,  +08:00,   GHN1,30.9472427,104.3315887,1603,29.62,1628.9,37,82.26,86.81,473.29,5.26,-0.37,0,0.07,127.6,129,27.7,28.8,0.7,27.16,25.94,17.71,198.64,77.78,28.31,2668.8,0.92,324.95,330.07,337.77,339.44,        ,        ,1396.32,1403.12,1359.17,1393.89,        ,652.17,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1493.3,87, NAV1,127,109.9,113.5,124.3,118.275,-0.036,0.754,1.37,-16.2,0.4,-36,-2.5,0,  NONE,   NONE,      ,      ,574.8,     3D,3704,      ,       ,125.5,       
2024/5/26, 15:52:34,  +08:00,   GHN1,30.9470043,104.3319702,1614,29.62,1639.8,37,83.27,87.05,492.84,4.67,-1.11,0.05,0,130.3,129,27.7,28.8,0.7,27.11,26.04,17.65,198.6,77.64,28.28,2664.1,0.92,325.39,330.43,338.32,339.84,        ,        ,1398.54,1405.03,1359.46,1394.53,        ,652.66,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1504.1,88, NAV1,127,109.9,113.5,124.3,118.275,-0.033,0.806,1.58,-7.8,0.5,-36.8,-2.5,0,  NONE,   NONE,      ,      ,633.9,     3D,3704,      ,       ,125.5,       
2024/5/26, 15:52:35,  +08:00,   GHN1,30.9467602,104.3323441,1626,29.62,1651.2,37,81.8,87.32,588.54,4.7,0.94,0.01,-0.02,129.7,129.2,27.7,28.8,0.7,27.14,26.03,17.65,198.59,77.46,28.25,2664.4,0.91,325.8,330.81,338.8,340.22,        ,        ,1399.4,1405.29,1359.65,1395.21,        ,653.13,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1515.6,87, NAV1,127,109.9,113.5,124.3,118.275,-0.042,0.892,1.78,-1.9,0.5,-37.4,-2.5,0,  NONE,   NONE,      ,      ,673.2,     3D,3704,      ,       ,125.5,       
2024/5/26, 15:52:36,  +08:00,   GHN1,30.946516,104.3327179,1634,29.62,1662,36.8,82.75,87.55,587.08,5.1,-0.58,0,-0.02,129.1,129.4,27.7,28.8,0.7,27.28,25.92,17.64,198.61,77.44,28.27,2667.5,0.92,326.27,331.18,339.3,340.62,        ,        ,1399.65,1405.51,1359.43,1395.05,        ,653.63,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1526.3,88, NAV1,127,109.9,113.5,124.3,118.275,-0.062,0.796,1.95,2.1,0.5,-38.1,-2.5,0,  NONE,   NONE,      ,      ,689,     3D,3704,      ,       ,125.5,       
2024/5/26, 15:52:37,  +08:00,   GHN1,30.94627,104.3330917,1644,29.62,1672.1,36.8,83.59,87.65,566.56,5.17,-0.19,0.03,0,130.6,129.3,27.7,28.8,0.7,27.17,25.96,17.67,198.67,77.49,28.26,2667.3,0.92,326.72,331.58,339.88,341,        ,        ,1399.56,1405.17,1360.14,1395.18,        ,654.12,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1536.4,89, NAV1,127,109.9,113.5,124.3,118.275,-0.072,0.561,2.09,5.2,0.5,-38.7,-2.5,0,  NONE,   NONE,      ,      ,649.6,     3D,3704,      ,       ,125.5,       
2024/5/26, 15:52:38,  +08:00,   GHN1,30.9460258,104.3334732,1655,29.62,1682.8,36.8,82.21,87.71,602.49,5,-0.34,0.02,0.09,130,129.5,27.7,28.8,0.7,27.21,25.92,17.63,198.73,77.39,28.25,2665.6,0.92,327.18,331.94,340.39,341.4,        ,        ,1399.82,1404.92,1358.94,1395.08,        ,654.59,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1547.2,87, NAV1,127,109.9,113.5,124.3,118.275,-0.091,0.362,2.2,7.6,0.5,-39.2,-2.5,0,  NONE,   NONE,      ,      ,645.7,     3D,3704,      ,       ,126,       
2024/5/26, 15:52:39,  +08:00,   GHN1,30.9457817,104.3338547,1665,29.62,1695.9,36.8,83.59,87.78,613,4.81,-1.63,0.01,0.17,129,129.5,27.7,28.8,0.7,27.16,25.83,17.66,198.8,77.55,28.23,2672.5,0.92,327.62,332.36,340.93,341.79,        ,        ,1400.18,1405.26,1358.92,1394.73,        ,655.11,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1560.2,89, NAV1,127,109.9,113.5,124.3,118.275,-0.114,0.305,2.27,9.6,0.6,-39.7,-2.5,0,  NONE,   NONE,      ,      ,775.6,     3D,3704,      ,       ,126,       
