#airframe_info," log_version=""1.03"""," log_content_version=""1.02"""," Product=""GIFD"""," airframe_name=""Cirrus SR20"""," unit_software_part_number=""006-B1177-C2"""," unit_software_version=""21.70"""," system_software_part_number=""006-B2647-N9"""," system_id=""25E7EC26F""", mode=NORMAL," flightstream_header=""25E7EC26F_0821""", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2024/5/25, 08:06:38,  +08:00,  GHN00,30.9475231,104.331192,1537,29.62,1586.6,29,83,89.2,343.37,4.54,-1.03,0.03,-0.05,126.7,129,27.7,28.8,0.6,26.8,24.41,17.88,189.73,75.35,27.96,2653,0.91,320.66,332.85,336.53,348.09,        ,        ,1344.98,1320.77,1366.92,1341.68,        ,1261.24,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1450.9,87, NAV1,127,109.9,113.5,124.3,118.275,0.006,-0.136,4.87,-37,0.4,-35.7,-2.5,0,  NONE,   NONE,      ,      ,539.4, 3DDiff,3704,      ,38,53.5,44
2024/5/25, 08:06:39,  +08:00,  GHN00,30.9472694,104.3315735,1544,29.62,1596.3,29,81.49,89.51,385.43,4.49,-1.42,0.02,-0.03,125.8,129.2,27.7,28.8,0.6,26.86,24.33,17.87,189.71,75.34,27.97,2653.2,0.91,321.12,333.18,337.13,348.49,        ,        ,1346.11,1321.88,1366.08,1342.25,        ,1261.59,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1460.6,85, NAV1,127,109.9,113.5,124.3,118.275,0,-0.061,4.86,-35.1,0.4,-36.6,-2.5,0,  NONE,   NONE,      ,      ,503.9, 3DDiff,3704,      ,38,54.5,44
2024/5/25, 08:06:40,  +08:00,  GHN00,30.9470215,104.3319702,1552,29.62,1603.7,29,81.35,89.92,421.86,4,-0.23,-0.02,-0.07,124.9,129.1,27.7,28.8,0.6,26.95,24.25,17.84,189.7,75.3,27.94,2652,0.91,321.53,333.5,337.78,348.9,        ,        ,1346.86,1322.41,1365.19,1343.07,        ,1261.95,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1468,85, NAV1,127,109.9,113.5,124.3,118.275,-0.012,0.134,4.87,-33.2,0.4,-37.4,-2.5,0,  NONE,   NONE,      ,      ,468.5, 3DDiff,3704,      ,38,54,44
2024/5/25, 08:06:41,  +08:00,  GHN00,30.9467754,104.3323593,1559,29.62,1611.1,29,81.68,90.31,423.17,4.81,-1.02,0.01,0.03,125.1,128.8,27.7,28.8,0.6,26.97,24.33,17.77,189.68,75.23,27.95,2652.7,0.91,322,333.83,338.36,349.32,        ,        ,1347.44,1323.49,1365.07,1342.79,        ,1262.34,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1475.4,85, NAV1,127,109.9,113.5,124.3,118.275,-0.015,0.095,4.89,-31.1,0.5,-38.1,-2.5,0,  NONE,   NONE,      ,      ,440.9, 3DDiff,3704,      ,38,54,44
2024/5/25, 08:06:42,  +08:00,  GHN00,30.9465256,104.332756,1566,29.62,1619.8,28.8,82.19,90.7,427.52,4.37,1.4,-0.03,0.05,124.4,128.7,27.7,28.8,0.6,26.97,24.38,17.82,189.67,75.18,27.95,2655.7,0.91,322.44,334.16,339.01,349.74,        ,        ,1347.82,1323.69,1365.08,1342.83,        ,1262.73,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1484.2,86, NAV1,127,109.9,113.5,124.3,118.275,-0.022,0.253,4.93,-28.9,0.5,-38.8,-2.5,0,  NONE,   NONE,      ,      ,507.9, 3DDiff,3704,      ,38,54,44
2024/5/25, 08:06:43,  +08:00,  GHN00,30.9462757,104.3331451,1573,29.62,1629.5,28.8,83.3,91.01,416.67,4.9,-0.27,0,0.11,125.5,128.7,27.7,28.8,0.6,26.94,24.42,17.85,189.66,75.17,27.93,2652.2,0.91,322.9,334.47,339.6,350.15,        ,        ,1349.12,1325.53,1365.12,1343.62,        ,1263.1,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1493.8,87, NAV1,127,109.9,113.5,124.3,118.275,-0.022,0.316,4.99,-26.6,0.5,-39.4,-2.5,0,  NONE,   NONE,      ,      ,566.9, 3DDiff,3704,      ,38,54,44
2024/5/25, 08:06:44,  +08:00,  GHN00,30.9460239,104.3335419,1582,29.62,1639,28.8,83.95,91.17,467.45,5.31,1.22,0.01,0,125.2,128.8,27.7,28.8,0.6,26.89,24.5,17.89,189.68,75.12,27.91,2653.7,0.9,323.34,334.8,340.25,350.58,        ,        ,1349.5,1325.59,1364.37,1343.77,        ,1263.46,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1503.4,88, NAV1,127,109.9,113.5,124.3,118.275,-0.019,0.314,5.05,-24.4,0.5,-39.9,-2.5,0,  NONE,   NONE,      ,      ,602.4, 3DDiff,3704,      ,38,53.5,44
2024/5/25, 08:06:45,  +08:00,  GHN00,30.9457741,104.3339386,1592,29.62,1648.4,28.8,83.6,91.15,500.18,5.43,-2.12,0,0.07,124.5,129,27.7,28.8,0.6,26.88,24.57,17.9,189.7,74.97,27.91,2653.9,0.91,323.83,335.14,340.84,351,        ,        ,1349.86,1325.81,1364.56,1344.21,        ,1263.84,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1512.7,87, NAV1,127,109.9,113.5,124.3,118.275,-0.025,0.449,5.13,-22.1,0.6,-40.4,-2.5,0,  NONE,   NONE,      ,      ,645.7, 3DDiff,3704,      ,38,54.5,44
2024/5/25, 08:06:46,  +08:00,  GHN00,30.9455242,104.3343353,1604,29.62,1661.1,28.8,82.68,91.15,567.76,5.32,-1.58,0,0.02,124.8,128.6,27.7,28.8,0.6,26.89,24.64,17.81,189.72,74.91,27.9,2651.2,0.9,324.28,335.47,341.49,351.43,        ,        ,1349.59,1326.09,1364.94,1344.2,        ,1264.22,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1525.4,87, NAV1,127,109.9,113.5,124.3,118.275,-0.037,0.293,5.21,-19.9,0.6,-40.9,-2.5,0,  NONE,   NONE,      ,      ,724.4, 3DDiff,3704,      ,38,54,44
2024/5/25, 08:06:47,  +08:00,  GHN00,30.9452782,104.3347321,1614,29.62,1673.5,28.8,81.94,91.17,598.52,5.66,0.57,-0.02,0,125,128.4,27.7,28.8,0.6,26.81,24.77,17.9,189.79,74.78,27.88,2652.1,0.9,324.76,335.8,342.09,351.85,        ,        ,1349.76,1325.53,1364.29,1344,        ,1264.59,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1537.8,86, NAV1,127,109.9,113.5,124.3,118.275,-0.031,0.472,5.31,-17.8,0.6,-41.3,-2.5,0,  NONE,   NONE,      ,      ,752, 3DDiff,3704,      ,38,54,44
