#airframe_info," log_version=""1.03"""," log_content_version=""1.02"""," Product=""GIFD"""," airframe_name=""Cirrus SR20"""," unit_software_part_number=""006-B1177-C2"""," unit_software_version=""21.70"""," system_software_part_number=""006-B2647-N9"""," system_id=""25E7EBA0C""", mode=NORMAL," flightstream_header=""25E7EBA0C_2704""", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2024/5/25, 15:13:47,  +08:00,   GHN1,30.9477711,104.3307343,1530.4,29.59,1556.7,32.8,77.41,87.82,271.34,4.1,2.6,-0.01,-0.01,121.3,127.4,27.7,28.8,0.2,21.65,22.55,17.9,204.18,76.17,28.21,2665.7,0.92,310.51,308.92,321.12,325.76,        ,        ,1351.73,1365.8,1309.41,1349.61,        ,1460.39,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1421.1,81, NAV1,127,109.9,113.5,124.3,118.275,-0.013,-0.5,6.07,-22.3,0.4,-33.7,-2.5,0,  NONE,   NONE,      ,      ,334.6, 3DDiff,3704,      ,40,60.5,59
2024/5/25, 15:13:48,  +08:00,   GHN1,30.9475327,104.3311234,1536.4,29.59,1564.6,32.8,78.58,88.43,280.49,4.75,2.72,0.03,-0.07,121.2,127.8,27.7,28.8,0.2,21.68,22.38,17.84,204.08,76.04,28.2,2662.9,0.91,310.66,309.07,321.37,325.88,        ,        ,1355.55,1369.66,1312.43,1352.87,        ,1460.6,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1429,83, NAV1,127,109.9,113.5,124.3,118.275,0,-0.46,6.13,-22,0.4,-34.8,-2.5,0,  NONE,   NONE,      ,      ,448.8, 3DDiff,3704,      ,40,61.5,60
2024/5/25, 15:13:49,  +08:00,   GHN1,30.9472904,104.3315201,1540.4,29.59,1571.6,32.8,76.64,89.3,260.11,3.45,0.81,0,0.03,124.3,128.4,27.7,28.8,0.2,21.71,22.59,17.95,204.01,75.88,28.22,2647.1,0.91,310.81,309.19,321.6,326.02,        ,        ,1357.33,1371.25,1314.38,1354.04,        ,1460.83,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1436,80, NAV1,127,109.9,113.5,124.3,118.275,0.01,-0.723,6.22,-21.4,0.4,-35.8,-2.5,0,  NONE,   NONE,      ,      ,421.3, 3DDiff,3704,      ,40,61.5,60
2024/5/25, 15:13:50,  +08:00,   GHN1,30.9470406,104.3319092,1547.4,29.59,1578,32.8,83.48,89.96,261.54,4.17,-0.46,0.06,0.05,126.6,128.8,27.7,28.8,0.2,21.68,22.61,17.91,203.93,75.9,28.21,2670,0.92,310.95,309.38,321.84,326.14,        ,        ,1359.62,1373.95,1316.32,1354.84,        ,1461.03,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1442.4,88, NAV1,127,109.9,113.5,124.3,118.275,0.013,-0.585,6.32,-20.6,0.5,-36.6,-2.5,0,  NONE,   NONE,      ,      ,378, 3DDiff,3704,      ,41,61.5,60
2024/5/25, 15:13:51,  +08:00,   GHN1,30.9467926,104.3322983,1554.4,29.59,1584.2,32.8,81.45,90.54,359.95,4.2,-1.08,0.01,0.11,124.2,129.4,27.7,28.8,0.2,22.07,22.45,17.88,203.89,75.81,28.21,2664.9,0.92,311.13,309.55,322.08,326.29,        ,        ,1360.68,1375.44,1317.67,1356.38,        ,1461.26,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1448.5,86, NAV1,127,109.9,113.5,124.3,118.275,0.003,-0.577,6.42,-19.7,0.5,-37.4,-2.5,0,  NONE,   NONE,      ,      ,401.6, 3DDiff,3704,      ,41,62,60
2024/5/25, 15:13:52,  +08:00,   GHN1,30.9465389,104.3326874,1555.4,29.59,1593.1,32.8,85.09,90.86,267.42,3.76,-1.23,0.05,-0.11,125.9,129.4,27.7,28.8,0.2,22.14,22.58,17.93,203.84,75.89,28.2,2671.2,0.92,311.33,309.73,322.36,326.46,        ,        ,1363.51,1376.84,1319.74,1357.55,        ,1461.52,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1457.4,90, NAV1,127,109.9,113.5,124.3,118.275,-0.01,-0.663,6.51,-18.8,0.5,-38,-2.5,0,  NONE,   NONE,      ,      ,563, 3DDiff,3704,      ,40,61.5,60
2024/5/25, 15:13:53,  +08:00,   GHN1,30.9462872,104.3330765,1565.4,29.59,1602.2,32.8,85.57,91.05,332.27,3.13,-3.44,0.06,-0.05,125.7,129.6,27.7,28.8,0.2,22.17,22.52,17.89,203.78,75.74,28.22,2664.7,0.92,311.52,309.94,322.61,326.62,        ,        ,1366.65,1378.61,1321.83,1359.12,        ,1461.73,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1466.6,90, NAV1,127,109.9,113.5,124.3,118.275,-0.026,-0.601,6.6,-17.8,0.5,-38.6,-2.5,0,  NONE,   NONE,      ,      ,539.4, 3DDiff,3704,      ,40,61.5,60
2024/5/25, 15:13:54,  +08:00,   GHN1,30.9460297,104.3334732,1571.4,29.59,1609.8,32.8,86.56,91.13,371.88,4.45,-6.57,0.03,0.22,124.8,129.5,27.7,28.8,0.2,22.34,22.58,17.88,203.71,75.73,28.22,2663.8,0.92,311.71,310.14,322.9,326.8,        ,        ,1368.48,1380.9,1323.69,1361.36,        ,1461.95,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1474.2,91, NAV1,127,109.9,113.5,124.3,118.275,-0.049,-0.569,6.66,-16.6,0.5,-39.2,-2.5,0,  NONE,   NONE,      ,      ,460.6, 3DDiff,3704,      ,40,61.5,60
2024/5/25, 15:13:55,  +08:00,   GHN1,30.9457836,104.3338623,1579.4,29.59,1619.5,32.8,85.71,91.32,406.69,2.98,-4.63,0.04,0.01,126,128.4,27.7,28.8,0.2,22.47,22.63,17.92,203.65,75.48,28.2,2662.5,0.92,311.93,310.34,323.16,326.97,        ,        ,1368.16,1382.35,1324.24,1362.25,        ,1462.19,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1483.9,90, NAV1,127,109.9,113.5,124.3,118.275,-0.052,-0.34,6.69,-15.3,0.6,-39.7,-2.5,0,  NONE,   NONE,      ,      ,570.9, 3DDiff,3704,      ,40,61.5,60
2024/5/25, 15:13:56,  +08:00,   GHN1,30.9455357,104.3342667,1590.4,29.59,1628.6,32.8,86.66,91.48,481.85,3.96,0.52,0.02,-0.07,125,128.2,27.7,28.8,0.2,22.52,22.52,17.84,203.57,75.56,28.18,2664,0.92,312.15,310.58,323.47,327.17,        ,        ,1369.66,1384.64,1324.72,1363,        ,1462.39,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,1492.9,91, NAV1,127,109.9,113.5,124.3,118.275,-0.046,-0.464,6.71,-13.7,0.6,-40.2,-2.5,0,  NONE,   NONE,      ,      ,551.2, 3DDiff,3704,      ,41,61.5,60
