#airframe_info," log_version=""1.03"""," log_content_version=""1.02"""," Product=""GIFD"""," airframe_name=""Cirrus SR20"""," unit_software_part_number=""006-B1177-C2"""," unit_software_version=""21.70"""," system_software_part_number=""006-B2647-N9"""," system_id=""25F7F0B4D""", mode=NORMAL," flightstream_header=""25F7F0B4D_0774""", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2024/5/26, 09:50:52,  +08:00,   GHN0,30.9686584,104.297554,2999.5,29.71,3098.2,23,102.17,109.34,-9.81,2.34,-0.54,-0.01,0.03,129,128.3,27.7,28.8,0.6,16.37,17.39,11.04,197.21,74.23,20.07,2524,0.55,322.83,310.79,334.4,328.29,        ,        ,1306.66,1314.57,1344.26,1393.7,        ,687.88,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,2963.1,110, NAV1,127,109.9,113.5,124.3,118.275,-0.009,-0.372,1.24,-131,1.8,125,-2.5,1,   LOC,    ALT,-0.1,2.3,3.9, 3DDiff,3704,      ,40,128,76
2024/5/26, 09:50:53,  +08:00,   GHN0,30.9683609,104.2980347,2999.5,29.71,3100,23,102.01,109.28,-6.38,2.2,-0.11,0,0.01,128.9,128.3,27.7,28.8,0.6,16.36,17.37,11.05,197.17,74.18,20.07,2521.4,0.55,322.98,310.91,334.54,328.39,        ,        ,1307.14,1313.71,1343.77,1394.01,        ,687.89,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,2965,110, NAV1,127,109.9,113.5,124.3,118.275,-0.009,-0.589,1.22,-131.9,1.7,125,-2.5,1,   LOC,    ALT,0,2.3,11.8, 3DDiff,3704,      ,40,128.5,76
2024/5/26, 09:50:54,  +08:00,   GHN0,30.9680653,104.2985153,2999.5,29.71,3101.7,23,101.9,109.22,2.2,2.18,0.56,-0.01,-0.03,129,128.3,27.7,28.8,0.6,16.33,17.41,11.04,197.18,74.19,20.09,2521.6,0.55,323.15,311,334.66,328.49,        ,        ,1307.26,1313.9,1343.11,1394.28,        ,687.89,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,2966.4,110, NAV1,127,109.9,113.5,124.3,118.275,-0.006,-0.786,1.2,-132.9,1.7,124.9,-2.5,1,   LOC,    ALT,0.1,2.2,0, 3DDiff,3704,      ,40,128,76
2024/5/26, 09:50:55,  +08:00,   GHN0,30.9677639,104.2989883,2999.5,29.71,3100.3,23.2,102,109.15,1.02,2.2,-0.14,-0.01,0.01,129.7,128.4,27.7,28.8,0.6,16.31,17.43,11,197.09,74.19,20.06,2520.7,0.55,323.27,311.12,334.81,328.6,        ,        ,1307.22,1313.49,1342.85,1394.96,        ,687.9,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,2964.9,110, NAV1,127,109.9,113.5,124.3,118.275,-0.009,-1.005,1.18,-134.1,1.7,124.9,-2.5,1,   LOC,    ALT,0.1,2.3,-23.6, 3DDiff,3704,      ,40,127.5,76
2024/5/26, 09:50:56,  +08:00,   GHN0,30.9674664,104.299469,2999.5,29.71,3100.5,23.2,101.93,109.11,-9.04,2.09,0.12,0.02,0,130.2,128.5,27.7,28.8,0.6,16.29,17.48,10.98,197.06,74.22,20.09,2519.6,0.55,323.42,311.23,334.95,328.72,        ,        ,1306.67,1314.02,1342.34,1394.17,        ,687.95,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,2965.1,110, NAV1,127,109.9,113.5,124.3,118.275,-0.006,-1.163,1.16,-135.6,1.6,124.8,-2.5,1,   LOC,    ALT,-0.1,2.2,0, 3DDiff,3704,      ,40,127.5,76
2024/5/26, 09:50:57,  +08:00,   GHN0,30.9671688,104.299942,2998.5,29.71,3101,23.2,101.26,109.13,-15.65,2.05,-0.65,-0.02,-0.02,129.6,128.6,27.7,28.8,0.6,16.32,17.46,10.97,196.98,74.22,20.09,2518.5,0.55,323.56,311.33,335.08,328.81,        ,        ,1307.08,1314.44,1342.46,1393.33,        ,687.98,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,2965.6,109, NAV1,127,109.9,113.5,124.3,118.275,-0.003,-1.38,1.15,-137.2,1.6,124.7,-2.5,1,   LOC,    ALT,-0.4,2.1,19.7, 3DDiff,3704,      ,40,128,76
2024/5/26, 09:50:58,  +08:00,   GHN0,30.9668694,104.300415,2998.5,29.71,3101.1,23.2,101.31,109.13,-2.84,2.05,-0.38,0.02,0,129.7,128.6,27.7,28.8,0.6,16.31,17.46,10.95,196.86,74.15,20.11,2518.4,0.55,323.7,311.43,335.21,328.92,        ,        ,1308.28,1314.89,1343.01,1393.41,        ,687.99,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,2965.7,109, NAV1,127,109.9,113.5,124.3,118.275,-0.006,-1.597,1.15,-138.8,1.6,124.6,-2.5,1,   LOC,    ALT,-0.3,2.1,3.9, 3DDiff,3704,      ,40,128.5,77
2024/5/26, 09:50:59,  +08:00,   GHN0,30.9665718,104.3008881,2999.5,29.71,3099.5,23.2,101.41,109.13,-0.78,2.3,-0.02,0.02,0.01,130,128.5,27.7,28.8,0.6,16.31,17.49,11.04,196.87,74.21,20.07,2518.1,0.55,323.83,311.52,335.31,329.03,        ,        ,1308.18,1314.25,1342.85,1392.82,        ,687.99,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,2964.1,109, NAV1,127,109.9,113.5,124.3,118.275,-0.006,-1.816,1.16,-140.3,1.6,124.6,-2.5,1,   LOC,    ALT,-0.2,2.2,-23.6, 3DDiff,3704,      ,40,129,76
2024/5/26, 09:51:00,  +08:00,   GHN0,30.9662743,104.3013687,2999.5,29.71,3097.5,23.2,101.84,109.03,-12.6,2.46,0.05,0.01,0.03,129.7,128.6,27.7,28.8,0.6,16.3,17.52,11.03,196.96,74.07,20.08,2521,0.55,323.98,311.65,335.46,329.14,        ,        ,1307.52,1314.28,1344.31,1392.63,        ,688.04,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,2962.1,110, NAV1,127,109.9,113.5,124.3,118.275,-0.006,-2.037,1.18,-141.7,1.5,124.5,-2.5,1,   LOC,    ALT,-0.2,2.4,-31.5, 3DDiff,3704,      ,40,128.5,76
2024/5/26, 09:51:01,  +08:00,   GHN0,30.9659786,104.3018417,2998.5,29.71,3098.9,23.2,102.22,108.97,-28.92,2.21,-0.09,0.01,0,129.7,128.7,27.7,28.8,0.6,16.32,17.46,11,197.08,74.09,20.06,2522.9,0.55,324.09,311.74,335.59,329.22,        ,        ,1307.36,1314.7,1345.98,1391.36,        ,688.03,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,2963.5,110, NAV1,127,109.9,113.5,124.3,118.275,-0.006,-2.13,1.2,-143.1,1.5,124.4,-2.5,1,   LOC,    ALT,-0.2,2.4,19.7, 3DDiff,3704,      ,40,128,76
